sample_name,cell_barcode,final_clone_id
RA16_08-08_2,cell_1019,1
RA16_08-08_2,cell_1029,1
RA16_08-08_2,cell_104,1
RA16_08-08_2,cell_1045,1
RA16_08-08_2,cell_1047,1
RA16_08-08_2,cell_106,1
RA16_08-08_2,cell_1067,1
RA16_08-08_2,cell_1071,1
RA16_08-08_2,cell_1082,1
RA16_08-08_2,cell_1088,1
RA16_08-08_2,cell_1102,1
RA16_08-08_2,cell_111,1
RA16_08-08_2,cell_1110,1
RA16_08-08_2,cell_1115,1
RA16_08-08_2,cell_1116,1
RA16_08-08_2,cell_1139,1
RA16_08-08_2,cell_114,1
RA16_08-08_2,cell_1161,1
RA16_08-08_2,cell_1162,1
RA16_08-08_2,cell_117,1
RA16_08-08_2,cell_1175,1
RA16_08-08_2,cell_1180,1
RA16_08-08_2,cell_1181,1
RA16_08-08_2,cell_1196,1
RA16_08-08_2,cell_1197,1
RA16_08-08_2,cell_1198,1
RA16_08-08_2,cell_1199,1
RA16_08-08_2,cell_12,1
RA16_08-08_2,cell_1216,1
RA16_08-08_2,cell_1237,1
RA16_08-08_2,cell_1250,1
RA16_08-08_2,cell_1264,1
RA16_08-08_2,cell_1269,1
RA16_08-08_2,cell_1273,1
RA16_08-08_2,cell_1277,1
RA16_08-08_2,cell_1278,1
RA16_08-08_2,cell_1281,1
RA16_08-08_2,cell_1294,1
RA16_08-08_2,cell_1307,1
RA16_08-08_2,cell_1313,1
RA16_08-08_2,cell_1315,1
RA16_08-08_2,cell_1329,1
RA16_08-08_2,cell_1335,1
RA16_08-08_2,cell_1343,1
RA16_08-08_2,cell_1351,1
RA16_08-08_2,cell_1364,1
RA16_08-08_2,cell_1370,1
RA16_08-08_2,cell_1404,1
RA16_08-08_2,cell_1414,1
RA16_08-08_2,cell_1438,1
RA16_08-08_2,cell_1455,1
RA16_08-08_2,cell_1456,1
RA16_08-08_2,cell_1458,1
RA16_08-08_2,cell_1459,1
RA16_08-08_2,cell_1480,1
RA16_08-08_2,cell_1484,1
RA16_08-08_2,cell_1492,1
