sample_name,cell_barcode,final_clone_id
TP12-EUS-0T,cell_71,1
TP12-EUS-0T,cell_79,1
TP12-IR-2T,cell_116,1
TP12-IR-2T,cell_128,1
TP12-IR-2T,cell_178,1
TP12-IR-2T,cell_188,1
TP12-IR-2T,cell_190,1
TP12-IR-2T,cell_215,1
TP12-IR-2T,cell_286,1
TP12-IR-2T,cell_295,1
TP12-IR-2T,cell_35,1
TP12-IR-2T,cell_390,1
TP12-IR-2T,cell_396,1
TP12-IR-2T,cell_511,1
TP12-IR-2T,cell_568,1
TP12-IR-2T,cell_71,2
TP12-IR-2T,cell_548,2
TP12-IR-2T,cell_381,2
TP12-IR-2T,cell_482,2
TP12-EUS-0T,cell_1,2
TP12-IR-2T,cell_131,2
TP12-IR-2T,cell_72,2
TP12-IR-2T,cell_236,2
TP12-EUS-0T,cell_50,2
TP12-IR-2T,cell_14,2
TP12-IR-2T,cell_406,2
TP12-IR-2T,cell_267,2
TP12-EUS-0T,cell_53,2
TP12-IR-2T,cell_139,2
TP12-EUS-0T,cell_52,2
TP12-IR-2T,cell_362,2
TP12-IR-2T,cell_354,2
TP12-EUS-0T,cell_82,2
TP12-IR-2T,cell_504,2
TP12-IR-2T,cell_144,2
TP12-IR-2T,cell_197,2
TP12-IR-2T,cell_148,2
TP12-IR-2T,cell_245,2
TP12-EUS-0T,cell_39,2
TP12-IR-2T,cell_191,2
TP12-IR-2T,cell_414,2
TP12-EUS-0T,cell_107,2
TP12-IR-2T,cell_124,2
TP12-IR-2T,cell_107,2
TP12-IR-2T,cell_80,2
TP12-IR-2T,cell_183,2
TP12-IR-2T,cell_370,2
TP12-IR-2T,cell_542,2
TP12-IR-2T,cell_69,2
TP12-EUS-0T,cell_63,2
TP12-IR-2T,cell_143,2
TP12-IR-2T,cell_299,2
TP12-IR-2T,cell_477,2
TP12-IR-2T,cell_12,2
TP12-IR-2T,cell_62,2
TP12-IR-2T,cell_235,2
TP12-EUS-0T,cell_18,2
TP12-IR-2T,cell_466,2
TP12-IR-2T,cell_334,2
TP12-IR-2T,cell_339,2
TP12-IR-2T,cell_298,2
TP12-EUS-0T,cell_59,2
TP12-IR-2T,cell_78,2
TP12-IR-2T,cell_208,2
TP12-IR-2T,cell_449,2
TP12-IR-2T,cell_49,2
TP12-IR-2T,cell_415,2
TP12-IR-2T,cell_29,2
TP12-EUS-0T,cell_80,2
TP12-IR-2T,cell_210,2
TP12-IR-2T,cell_475,2
TP12-IR-2T,cell_439,2
TP12-IR-2T,cell_534,2
TP12-IR-2T,cell_481,2
TP12-IR-2T,cell_424,2
TP12-IR-2T,cell_445,2
TP12-EUS-0T,cell_74,2
TP12-EUS-0T,cell_69,2
TP12-IR-2T,cell_55,2
TP12-IR-2T,cell_43,2
TP12-IR-2T,cell_15,2
TP12-IR-2T,cell_503,2
TP12-IR-2T,cell_425,2
TP12-EUS-0T,cell_70,2
TP12-IR-2T,cell_492,2
TP12-IR-2T,cell_87,2
TP12-IR-2T,cell_145,2
TP12-IR-2T,cell_316,2
TP12-IR-2T,cell_387,2
TP12-IR-2T,cell_127,2
TP12-IR-2T,cell_277,2
TP12-IR-2T,cell_132,2
TP12-IR-2T,cell_476,2
TP12-IR-2T,cell_512,2
TP12-IR-2T,cell_76,2
TP12-IR-2T,cell_61,2
TP12-IR-2T,cell_422,2
TP12-IR-2T,cell_369,2
TP12-IR-2T,cell_166,2
TP12-IR-2T,cell_278,2
TP12-IR-2T,cell_443,2
TP12-IR-2T,cell_16,2
TP12-IR-2T,cell_284,2
TP12-IR-2T,cell_559,2
TP12-IR-2T,cell_526,2
TP12-IR-2T,cell_66,2
TP12-IR-2T,cell_541,2
TP12-IR-2T,cell_434,2
TP12-IR-2T,cell_324,2
TP12-IR-2T,cell_499,2
TP12-IR-2T,cell_336,2
TP12-IR-2T,cell_222,2
TP12-EUS-0T,cell_97,2
TP12-IR-2T,cell_179,2
TP12-IR-2T,cell_436,2
TP12-IR-2T,cell_10,2
TP12-EUS-0T,cell_104,2
TP12-IR-2T,cell_554,2
TP12-IR-2T,cell_308,2
TP12-IR-2T,cell_440,2
TP12-IR-2T,cell_45,2
TP12-IR-2T,cell_463,2
TP12-EUS-0T,cell_58,2
TP12-IR-2T,cell_262,2
TP12-IR-2T,cell_169,2
TP12-IR-2T,cell_48,2
TP12-EUS-0T,cell_5,2
TP12-IR-2T,cell_216,2
TP12-IR-2T,cell_168,2
TP12-IR-2T,cell_358,2
TP12-EUS-0T,cell_101,2
TP12-IR-2T,cell_220,2
TP12-IR-2T,cell_340,2
TP12-EUS-0T,cell_34,2
TP12-IR-2T,cell_112,2
TP12-IR-2T,cell_529,2
TP12-IR-2T,cell_126,2
TP12-IR-2T,cell_54,2
TP12-EUS-0T,cell_2,2
TP12-IR-2T,cell_186,2
TP12-IR-2T,cell_279,2
TP12-IR-2T,cell_149,2
TP12-IR-2T,cell_498,2
TP12-IR-2T,cell_113,2
TP12-EUS-0T,cell_6,2
TP12-IR-2T,cell_309,2
TP12-IR-2T,cell_346,2
TP12-IR-2T,cell_258,2
TP12-EUS-0T,cell_54,2
TP12-IR-2T,cell_275,2
TP12-IR-2T,cell_491,2
TP12-EUS-0T,cell_64,2
TP12-EUS-0T,cell_86,2
TP12-IR-2T,cell_544,2
TP12-IR-2T,cell_79,2
TP12-EUS-0T,cell_109,2
TP12-IR-2T,cell_259,2
TP12-IR-2T,cell_291,2
TP12-IR-2T,cell_24,2
TP12-IR-2T,cell_447,2
TP12-IR-2T,cell_300,2
TP12-IR-2T,cell_427,2
TP12-IR-2T,cell_56,2
TP12-EUS-0T,cell_73,2
TP12-IR-2T,cell_84,2
TP12-EUS-0T,cell_45,2
TP12-IR-2T,cell_151,2
TP12-IR-2T,cell_417,2
TP12-IR-2T,cell_205,2
TP12-IR-2T,cell_329,2
TP12-IR-2T,cell_523,2
TP12-IR-2T,cell_553,2
TP12-IR-2T,cell_193,2
TP12-EUS-0T,cell_87,2
TP12-EUS-0T,cell_4,2
TP12-IR-2T,cell_314,2
TP12-IR-2T,cell_566,2
TP12-IR-2T,cell_117,2
TP12-IR-2T,cell_521,2
TP12-IR-2T,cell_263,2
TP12-IR-2T,cell_496,2
TP12-EUS-0T,cell_49,2
TP12-IR-2T,cell_342,2
TP12-IR-2T,cell_246,2
TP12-IR-2T,cell_260,2
TP12-EUS-0T,cell_26,2
TP12-EUS-0T,cell_96,2
TP12-EUS-0T,cell_102,2
TP12-IR-2T,cell_293,2
TP12-EUS-0T,cell_48,2
TP12-IR-2T,cell_152,2
TP12-IR-2T,cell_468,2
TP12-EUS-0T,cell_8,2
TP12-IR-2T,cell_170,2
TP12-IR-2T,cell_546,2
TP12-IR-2T,cell_480,2
TP12-IR-2T,cell_254,2
TP12-EUS-0T,cell_9,2
TP12-IR-2T,cell_252,2
TP12-IR-2T,cell_452,2
TP12-IR-2T,cell_373,2
TP12-IR-2T,cell_81,2
TP12-IR-2T,cell_289,2
TP12-IR-2T,cell_212,2
TP12-EUS-0T,cell_118,2
TP12-IR-2T,cell_426,2
TP12-IR-2T,cell_524,2
TP12-EUS-0T,cell_17,2
TP12-IR-2T,cell_557,2
TP12-EUS-0T,cell_32,2
TP12-IR-2T,cell_470,2
TP12-IR-2T,cell_164,2
TP12-IR-2T,cell_175,2
