sample,cell_barcode,clone_id
M12-3,cell_12,1
M12-3,cell_2192,1
M12-3,cell_1552,1
M12-3,cell_2027,1
M12-3,cell_1856,1
M12-3,cell_1967,1
M12-3,cell_2095,1
M12-3,cell_465,1
M12-3,cell_173,1
M12-3,cell_1186,1
M12-3,cell_1216,1
M12-3,cell_1288,1
M12-3,cell_1683,1
M12-3,cell_1368,1
M12-3,cell_234,1
M12-3,cell_1782,1
M12-3,cell_412,1
M12-3,cell_540,1
M12-3,cell_1390,1
M12-3,cell_171,1
M12-3,cell_804,1
M12-3,cell_549,1
M12-3,cell_361,1
M12-3,cell_82,1
M12-3,cell_833,1
M12-3,cell_421,1
M12-3,cell_353,1
M12-3,cell_357,1
M12-3,cell_376,1
M12-3,cell_965,1
M12-3,cell_727,1
M12-3,cell_481,1
M12-3,cell_1138,1
M12-3,cell_1305,1
M12-3,cell_1851,1
M12-3,cell_218,1
M12-3,cell_1792,1
M12-3,cell_1906,1
M12-3,cell_287,1
M12-3,cell_512,1
M12-3,cell_757,1
M12-3,cell_1043,1
M12-3,cell_1861,1
M12-3,cell_2018,1
M12-3,cell_1395,1
M12-3,cell_2093,1
M12-3,cell_352,1
M12-3,cell_872,1
M12-3,cell_256,1
M12-3,cell_369,1
M12-3,cell_1895,1
M12-3,cell_13,1
M12-3,cell_99,1
M12-3,cell_934,1
M12-3,cell_1180,1
M12-3,cell_1448,1
M12-3,cell_896,1
M12-3,cell_2030,1
M12-3,cell_2055,1
M12-3,cell_2071,1
M12-3,cell_1810,1
M12-3,cell_2004,1
M12-3,cell_1394,1
M12-3,cell_472,1
M12-3,cell_954,1
M12-3,cell_1074,1
M12-3,cell_1099,1
M12-3,cell_1202,1
M12-3,cell_184,1
M12-3,cell_1122,1
M12-3,cell_1758,1
M12-3,cell_183,1
M12-3,cell_2241,1
M12-3,cell_916,1
M12-3,cell_18,1
M12-3,cell_1543,1
M12-3,cell_192,1
M12-3,cell_439,1
M12-3,cell_689,1
M12-3,cell_414,1
M12-3,cell_1859,1
M12-3,cell_1908,1
M12-3,cell_1681,1
M12-3,cell_960,1
M12-3,cell_786,1
M12-3,cell_281,1
M12-3,cell_2051,1
M12-3,cell_1518,1
M12-3,cell_1112,1
M12-3,cell_1111,1
M12-3,cell_274,1
M12-3,cell_440,1
M12-3,cell_1348,1
M12-3,cell_1251,1
M12-3,cell_1941,1
M12-3,cell_371,1
M12-3,cell_629,1
M12-3,cell_1150,1
M12-3,cell_2016,1
M12-3,cell_1680,1
M12-3,cell_1053,1
