sample_name,cell_barcode,final_clone_id
M04-2,cell_333,1
M04-2,cell_341,1
M04-2,cell_96,1
M04-2,cell_375,1
M04-2,cell_177,1
M04-2,cell_145,1
M04-2,cell_178,1
M04-2,cell_63,1
M04-2,cell_8,1
M04-2,cell_175,1
M04-2,cell_116,1
M04-1,cell_755,1
M04-2,cell_525,1
M04-1,cell_944,1
M04-2,cell_133,1
M04-1,cell_102,1
M04-1,cell_416,1
M04-2,cell_304,1
M04-2,cell_479,1
M04-1,cell_305,1
M04-2,cell_611,1
M04-2,cell_94,1
M04-1,cell_711,1
M04-2,cell_631,1
M04-1,cell_363,1
M04-2,cell_326,1
M04-1,cell_518,1
M04-2,cell_410,1
M04-1,cell_568,1
M04-2,cell_356,1
M04-2,cell_272,1
M04-2,cell_17,1
M04-2,cell_119,1
M04-2,cell_41,1
M04-1,cell_144,1
M04-1,cell_717,1
M04-1,cell_868,1
M04-1,cell_311,1
M04-1,cell_586,1
M04-2,cell_562,1
M04-2,cell_338,1
M04-2,cell_607,1
M04-1,cell_89,1
M04-2,cell_639,1
M04-1,cell_921,1
M04-2,cell_638,1
M04-2,cell_29,1
M04-1,cell_685,1
M04-3,cell_855,1
M04-2,cell_354,1
M04-2,cell_435,1
M04-2,cell_346,1
M04-1,cell_466,1
M04-2,cell_448,1
M04-1,cell_547,1
M04-1,cell_106,1
M04-1,cell_780,1
M04-2,cell_471,1
M04-1,cell_288,1
M04-2,cell_69,1
M04-2,cell_431,1
M04-2,cell_497,1
M04-2,cell_387,1
M04-1,cell_848,1
M04-2,cell_283,1
M04-1,cell_349,1
M04-1,cell_410,1
M04-2,cell_551,1
M04-2,cell_521,1
M04-2,cell_9,1
M04-1,cell_126,1
M04-1,cell_272,1
M04-2,cell_332,1
M04-1,cell_740,1
M04-2,cell_209,1
M04-2,cell_615,1
M04-1,cell_759,1
M04-1,cell_367,1
M04-2,cell_97,1
M04-1,cell_892,1
M04-1,cell_694,1
M04-2,cell_487,1
M04-1,cell_760,1
M04-2,cell_112,1
M04-2,cell_567,1
M04-2,cell_142,1
M04-2,cell_274,1
M04-1,cell_232,1
M04-2,cell_191,1
M04-2,cell_159,1
M04-2,cell_320,1
M04-2,cell_219,1
M04-2,cell_35,1
M04-1,cell_661,1
M04-1,cell_513,1
M04-1,cell_145,1
M04-1,cell_40,1
M04-2,cell_104,1
M04-1,cell_8,1
M04-1,cell_419,1
M04-1,cell_235,1
M04-2,cell_102,1
M04-1,cell_456,1
M04-1,cell_4,1
M04-2,cell_429,1
M04-1,cell_731,1
M04-2,cell_213,1
M04-2,cell_568,1
M04-1,cell_379,1
M04-1,cell_912,1
M04-3,cell_254,1
M04-1,cell_298,1
M04-1,cell_945,1
M04-2,cell_529,1
M04-2,cell_140,1
M04-2,cell_349,1
M04-2,cell_579,1
M04-2,cell_422,1
M04-1,cell_723,1
M04-2,cell_537,1
M04-2,cell_403,1
M04-2,cell_368,1
M04-2,cell_473,1
M04-1,cell_671,1
M04-1,cell_765,1
M04-1,cell_656,1
M04-2,cell_76,1
M04-2,cell_578,1
M04-2,cell_301,1
M04-1,cell_78,1
M04-1,cell_408,1
M04-2,cell_162,1
M04-2,cell_453,1
M04-1,cell_598,1
M04-1,cell_715,1
M04-1,cell_318,1
M04-1,cell_440,1
M04-2,cell_590,1
M04-2,cell_426,1
M04-2,cell_313,1
M04-1,cell_488,1
M04-2,cell_603,1
M04-1,cell_577,1
M04-1,cell_844,1
M04-1,cell_624,1
M04-1,cell_80,1
M04-2,cell_307,1
M04-2,cell_531,1
M04-2,cell_416,1
M04-2,cell_621,1
M04-2,cell_286,1
M04-2,cell_362,1
M04-2,cell_398,1
M04-2,cell_85,1
M04-1,cell_7,1
M04-2,cell_179,1
M04-1,cell_666,1
M04-1,cell_602,1
M04-1,cell_738,1
M04-2,cell_503,1
M04-2,cell_587,1
M04-2,cell_207,1
M04-2,cell_184,1
M04-2,cell_522,1
M04-2,cell_324,1
M04-2,cell_628,1
M04-2,cell_342,1
M04-2,cell_625,1
M04-2,cell_241,1
M04-1,cell_746,1
M04-2,cell_59,1
M04-1,cell_550,1
M04-2,cell_22,1
M04-1,cell_509,1
M04-2,cell_158,1
M04-1,cell_242,1
M04-2,cell_360,1
M04-1,cell_180,1
M04-2,cell_477,1
M04-2,cell_600,1
M04-2,cell_302,1
M04-2,cell_594,1
