sample,cell_barcode,clone_id
TP11-IR-0T,cell_10,1
TP11-IR-0T,cell_100,1
TP11-IR-0T,cell_101,1
TP11-IR-0T,cell_106,1
TP11-IR-0T,cell_108,1
TP11-IR-0T,cell_110,1
TP11-IR-0T,cell_111,1
TP11-IR-0T,cell_116,1
TP11-IR-0T,cell_127,1
TP11-IR-0T,cell_129,1
TP11-IR-0T,cell_134,1
TP11-IR-0T,cell_139,1
TP11-IR-0T,cell_145,1
TP11-IR-0T,cell_151,1
TP11-IR-0T,cell_152,1
TP11-IR-0T,cell_158,1
TP11-IR-0T,cell_160,1
TP11-IR-0T,cell_163,1
TP11-IR-0T,cell_167,1
TP11-IR-0T,cell_169,1
TP11-IR-0T,cell_171,1
TP11-IR-0T,cell_172,1
TP11-IR-0T,cell_177,1
TP11-IR-0T,cell_178,1
TP11-IR-0T,cell_180,1
TP11-IR-0T,cell_19,1
TP11-IR-0T,cell_23,1
TP11-IR-0T,cell_24,1
TP11-IR-0T,cell_25,1
TP11-IR-0T,cell_29,1
TP11-IR-0T,cell_3,1
TP11-IR-0T,cell_30,1
TP11-IR-0T,cell_33,1
TP11-IR-0T,cell_36,1
TP11-IR-0T,cell_4,1
TP11-IR-0T,cell_40,1
TP11-IR-0T,cell_41,1
TP11-IR-0T,cell_42,1
TP11-IR-0T,cell_48,1
TP11-IR-0T,cell_50,1
TP11-IR-0T,cell_52,1
TP11-IR-0T,cell_53,1
TP11-IR-0T,cell_57,1
TP11-IR-0T,cell_61,1
TP11-IR-0T,cell_63,1
TP11-IR-0T,cell_67,1
TP11-IR-0T,cell_7,1
TP11-IR-0T,cell_70,1
TP11-IR-0T,cell_71,1
TP11-IR-0T,cell_72,1
TP11-IR-0T,cell_74,1
TP11-IR-0T,cell_76,1
TP11-IR-0T,cell_81,1
TP11-IR-0T,cell_83,1
TP11-IR-0T,cell_84,1
TP11-IR-0T,cell_85,1
TP11-IR-0T,cell_86,1
TP11-IR-0T,cell_87,1
TP11-IR-0T,cell_9,1
