sample,cell_barcode,clone_id
RA15_16-15_3,cell_13,2
RA15_16-15_3,cell_315,2
RA15_16-15_3,cell_319,2
RA15_16-15_3,cell_462,2
RA15_16-15_3,cell_495,2
RA15_16-15_3,cell_607,2
RA15_16-15_3,cell_616,2
RA15_16-15_3,cell_659,2
RA15_16-15_3,cell_690,2
RA15_16-15_3,cell_692,2
RA15_16-15_3,cell_841,2
RA15_16-15_3,cell_844,2
RA15_16-15_3,cell_931,2
RA15_16-15_3,cell_990,2
RA15_16-21_9,cell_1,2
RA15_16-21_9,cell_1000,2
RA15_16-21_9,cell_1007,2
RA15_16-21_9,cell_102,2
RA15_16-21_9,cell_1023,2
RA15_16-21_9,cell_1033,2
RA15_16-21_9,cell_1036,2
RA15_16-21_9,cell_1038,2
RA15_16-21_9,cell_1045,2
RA15_16-21_9,cell_1053,2
RA15_16-21_9,cell_1054,2
RA15_16-21_9,cell_1057,2
RA15_16-21_9,cell_1072,2
RA15_16-21_9,cell_1081,2
RA15_16-21_9,cell_1089,2
RA15_16-21_9,cell_1094,2
RA15_16-21_9,cell_1097,2
RA15_16-21_9,cell_1099,2
RA15_16-21_9,cell_1104,2
RA15_16-21_9,cell_1105,2
RA15_16-21_9,cell_1109,2
RA15_16-21_9,cell_1110,2
RA15_16-21_9,cell_1111,2
RA15_16-21_9,cell_1112,2
RA15_16-21_9,cell_1124,2
RA15_16-21_9,cell_1127,2
RA15_16-21_9,cell_1130,2
RA15_16-21_9,cell_1132,2
RA15_16-21_9,cell_1136,2
RA15_16-21_9,cell_1137,2
RA15_16-21_9,cell_1143,2
RA15_16-21_9,cell_1145,2
RA15_16-21_9,cell_1149,2
RA15_16-21_9,cell_1155,2
RA15_16-21_9,cell_1167,2
RA15_16-21_9,cell_1172,2
RA15_16-21_9,cell_121,2
RA15_16-21_9,cell_14,2
RA15_16-21_9,cell_141,2
RA15_16-21_9,cell_147,2
RA15_16-21_9,cell_15,2
RA15_16-21_9,cell_155,2
RA15_16-21_9,cell_178,2
RA15_16-21_9,cell_19,2
RA15_16-21_9,cell_193,2
RA15_16-21_9,cell_208,2
RA15_16-21_9,cell_211,2
RA15_16-21_9,cell_22,2
RA15_16-21_9,cell_222,2
RA15_16-21_9,cell_224,2
RA15_16-21_9,cell_231,2
RA15_16-21_9,cell_239,2
RA15_16-21_9,cell_248,2
RA15_16-21_9,cell_251,2
RA15_16-21_9,cell_255,2
RA15_16-21_9,cell_261,2
RA15_16-21_9,cell_278,2
RA15_16-21_9,cell_280,2
