sample,cell_barcode,clone_id
TP12-EUS-0T,cell_71,1
TP12-EUS-0T,cell_79,1
TP12-IR-2T,cell_116,1
TP12-IR-2T,cell_128,1
TP12-IR-2T,cell_178,1
TP12-IR-2T,cell_188,1
TP12-IR-2T,cell_190,1
TP12-IR-2T,cell_215,1
TP12-IR-2T,cell_286,1
TP12-IR-2T,cell_295,1
TP12-IR-2T,cell_35,1
TP12-IR-2T,cell_390,1
TP12-IR-2T,cell_396,1
TP12-IR-2T,cell_511,1
TP12-IR-2T,cell_568,1
TP12-IR-2T,cell_339,2
TP12-IR-2T,cell_189,2
TP12-IR-2T,cell_87,2
TP12-IR-2T,cell_309,2
TP12-IR-2T,cell_71,2
TP12-IR-2T,cell_79,2
TP12-IR-2T,cell_37,2
TP12-IR-2T,cell_15,2
TP12-IR-2T,cell_417,2
TP12-EUS-0T,cell_96,2
TP12-EUS-0T,cell_67,2
TP12-IR-2T,cell_569,2
TP12-IR-2T,cell_61,2
TP12-IR-2T,cell_336,2
TP12-IR-2T,cell_260,2
TP12-IR-2T,cell_334,2
TP12-IR-2T,cell_534,2
TP12-IR-2T,cell_81,2
TP12-IR-2T,cell_529,2
TP12-IR-2T,cell_358,2
TP12-EUS-0T,cell_95,2
TP12-IR-2T,cell_370,2
TP12-EUS-0T,cell_17,2
TP12-IR-2T,cell_364,2
TP12-IR-2T,cell_349,2
TP12-EUS-0T,cell_52,2
TP12-IR-2T,cell_277,2
TP12-IR-2T,cell_170,2
TP12-IR-2T,cell_346,2
TP12-EUS-0T,cell_11,2
TP12-IR-2T,cell_557,2
TP12-IR-2T,cell_20,2
TP12-EUS-0T,cell_33,2
TP12-IR-2T,cell_24,2
TP12-IR-2T,cell_432,2
TP12-IR-2T,cell_55,2
TP12-IR-2T,cell_470,2
TP12-IR-2T,cell_436,2
TP12-EUS-0T,cell_121,2
TP12-IR-2T,cell_452,2
TP12-EUS-0T,cell_27,2
TP12-EUS-0T,cell_48,2
TP12-EUS-0T,cell_69,2
TP12-IR-2T,cell_554,2
TP12-IR-2T,cell_523,2
TP12-EUS-0T,cell_104,2
TP12-IR-2T,cell_72,2
TP12-EUS-0T,cell_98,2
TP12-IR-2T,cell_258,2
TP12-IR-2T,cell_7,2
TP12-EUS-0T,cell_32,2
TP12-EUS-0T,cell_99,2
TP12-IR-2T,cell_191,2
TP12-IR-2T,cell_186,2
TP12-IR-2T,cell_466,2
TP12-EUS-0T,cell_93,2
TP12-IR-2T,cell_546,2
TP12-IR-2T,cell_464,2
TP12-IR-2T,cell_66,2
TP12-IR-2T,cell_408,2
TP12-IR-2T,cell_212,2
TP12-EUS-0T,cell_34,2
TP12-IR-2T,cell_143,2
TP12-IR-2T,cell_481,2
TP12-EUS-0T,cell_23,2
TP12-IR-2T,cell_175,2
TP12-IR-2T,cell_548,2
TP12-EUS-0T,cell_102,2
TP12-IR-2T,cell_480,2
TP12-IR-2T,cell_426,2
TP12-EUS-0T,cell_92,2
TP12-IR-2T,cell_486,2
TP12-IR-2T,cell_439,2
TP12-IR-2T,cell_447,2
TP12-EUS-0T,cell_101,2
TP12-EUS-0T,cell_118,2
TP12-IR-2T,cell_131,2
TP12-IR-2T,cell_289,2
TP12-IR-2T,cell_112,2
TP12-EUS-0T,cell_90,2
TP12-EUS-0T,cell_39,2
TP12-IR-2T,cell_509,2
TP12-IR-2T,cell_427,2
TP12-EUS-0T,cell_80,2
TP12-IR-2T,cell_322,2
TP12-IR-2T,cell_117,2
TP12-IR-2T,cell_16,2
TP12-EUS-0T,cell_54,2
TP12-IR-2T,cell_166,2
TP12-IR-2T,cell_542,2
TP12-EUS-0T,cell_49,2
TP12-EUS-0T,cell_5,2
TP12-EUS-0T,cell_107,2
TP12-EUS-0T,cell_41,2
TP12-IR-2T,cell_43,2
TP12-IR-2T,cell_145,2
TP12-EUS-0T,cell_19,2
TP12-EUS-0T,cell_65,2
TP12-IR-2T,cell_123,2
TP12-IR-2T,cell_521,2
TP12-IR-2T,cell_525,2
TP12-IR-2T,cell_344,2
TP12-IR-2T,cell_365,2
TP12-IR-2T,cell_14,2
TP12-EUS-0T,cell_72,2
TP12-EUS-0T,cell_100,2
TP12-IR-2T,cell_197,2
TP12-IR-2T,cell_291,2
TP12-EUS-0T,cell_13,2
TP12-EUS-0T,cell_86,2
TP12-IR-2T,cell_298,2
TP12-IR-2T,cell_543,2
TP12-IR-2T,cell_144,2
TP12-EUS-0T,cell_94,2
TP12-IR-2T,cell_261,2
TP12-IR-2T,cell_314,2
TP12-IR-2T,cell_553,2
TP12-IR-2T,cell_340,2
TP12-EUS-0T,cell_42,2
TP12-IR-2T,cell_210,2
TP12-IR-2T,cell_499,2
TP12-IR-2T,cell_76,2
TP12-IR-2T,cell_341,2
TP12-IR-2T,cell_49,2
TP12-IR-2T,cell_434,2
TP12-IR-2T,cell_151,2
TP12-IR-2T,cell_246,2
TP12-IR-2T,cell_541,2
TP12-IR-2T,cell_236,2
TP12-IR-2T,cell_279,2
TP12-IR-2T,cell_498,2
TP12-IR-2T,cell_496,2
TP12-IR-2T,cell_263,2
TP12-IR-2T,cell_164,2
TP12-IR-2T,cell_495,2
TP12-IR-2T,cell_363,2
TP12-IR-2T,cell_204,2
TP12-IR-2T,cell_254,2
TP12-IR-2T,cell_142,2
TP12-IR-2T,cell_220,2
TP12-EUS-0T,cell_50,2
TP12-EUS-0T,cell_70,2
TP12-EUS-0T,cell_116,2
TP12-IR-2T,cell_342,2
TP12-EUS-0T,cell_74,2
TP12-IR-2T,cell_329,2
TP12-IR-2T,cell_406,2
TP12-IR-2T,cell_102,2
TP12-IR-2T,cell_18,2
TP12-EUS-0T,cell_8,2
TP12-IR-2T,cell_300,2
TP12-IR-2T,cell_10,2
TP12-EUS-0T,cell_18,2
TP12-IR-2T,cell_235,2
TP12-EUS-0T,cell_58,2
TP12-EUS-0T,cell_53,2
TP12-IR-2T,cell_316,2
TP12-IR-2T,cell_56,2
TP12-IR-2T,cell_252,2
TP12-IR-2T,cell_387,2
TP12-EUS-0T,cell_83,2
TP12-EUS-0T,cell_109,2
TP12-IR-2T,cell_284,2
TP12-EUS-0T,cell_84,2
TP12-IR-2T,cell_78,2
TP12-EUS-0T,cell_87,2
TP12-IR-2T,cell_492,2
TP12-IR-2T,cell_526,2
TP12-IR-2T,cell_12,2
TP12-IR-2T,cell_152,2
TP12-IR-2T,cell_324,2
TP12-IR-2T,cell_103,2
TP12-IR-2T,cell_262,2
TP12-EUS-0T,cell_15,2
TP12-IR-2T,cell_45,2
TP12-IR-2T,cell_139,2
TP12-EUS-0T,cell_44,2
TP12-IR-2T,cell_303,2
TP12-IR-2T,cell_414,2
TP12-IR-2T,cell_440,2
TP12-IR-2T,cell_44,2
TP12-EUS-0T,cell_64,2
TP12-IR-2T,cell_422,2
TP12-IR-2T,cell_118,2
TP12-IR-2T,cell_425,2
TP12-IR-2T,cell_247,2
TP12-EUS-0T,cell_4,2
TP12-IR-2T,cell_381,2
TP12-IR-2T,cell_443,2
TP12-IR-2T,cell_243,2
TP12-IR-2T,cell_266,2
TP12-IR-2T,cell_107,2
TP12-IR-2T,cell_462,2
TP12-IR-2T,cell_29,2
TP12-IR-2T,cell_449,2
TP12-IR-2T,cell_293,2
TP12-EUS-0T,cell_82,2
TP12-IR-2T,cell_126,2
TP12-IR-2T,cell_475,2
TP12-IR-2T,cell_179,2
TP12-IR-2T,cell_544,2
TP12-IR-2T,cell_193,2
TP12-EUS-0T,cell_37,2
TP12-EUS-0T,cell_1,2
TP12-IR-2T,cell_444,2
TP12-IR-2T,cell_445,2
TP12-IR-2T,cell_469,2
TP12-IR-2T,cell_503,2
TP12-IR-2T,cell_149,2
TP12-EUS-0T,cell_77,2
TP12-IR-2T,cell_113,2
TP12-IR-2T,cell_275,2
TP12-EUS-0T,cell_115,2
TP12-IR-2T,cell_245,2
TP12-EUS-0T,cell_73,2
TP12-IR-2T,cell_208,2
TP12-IR-2T,cell_559,2
TP12-EUS-0T,cell_24,2
