sample_name,cell_barcode,final_clone_id
BPA-2-IR,cell_107,1
BPA-2-IR,cell_117,1
BPA-2-IR,cell_125,1
BPA-2-IR,cell_128,1
BPA-2-IR,cell_129,1
BPA-2-IR,cell_131,1
BPA-2-IR,cell_140,1
BPA-2-IR,cell_149,1
BPA-2-IR,cell_164,1
BPA-2-IR,cell_181,1
BPA-2-IR,cell_184,1
BPA-2-IR,cell_191,1
BPA-2-IR,cell_193,1
BPA-2-IR,cell_196,1
BPA-2-IR,cell_199,1
BPA-2-IR,cell_201,1
BPA-2-IR,cell_202,1
BPA-2-IR,cell_203,1
BPA-2-IR,cell_207,1
BPA-2-IR,cell_221,1
BPA-2-IR,cell_223,1
BPA-2-IR,cell_228,1
BPA-2-IR,cell_229,1
BPA-2-IR,cell_230,1
BPA-2-IR,cell_232,1
BPA-2-IR,cell_233,1
BPA-2-IR,cell_235,1
BPA-2-IR,cell_25,1
BPA-2-IR,cell_250,1
BPA-2-IR,cell_265,1
BPA-2-IR,cell_27,1
BPA-2-IR,cell_276,1
BPA-2-IR,cell_278,1
BPA-2-IR,cell_289,1
BPA-2-IR,cell_291,1
BPA-2-IR,cell_294,1
BPA-2-IR,cell_296,1
BPA-2-IR,cell_306,1
BPA-2-IR,cell_313,1
BPA-2-IR,cell_314,1
BPA-2-IR,cell_315,1
BPA-2-IR,cell_316,1
BPA-2-IR,cell_317,1
BPA-2-IR,cell_40,1
BPA-2-IR,cell_5,1
BPA-2-IR,cell_58,1
BPA-2-IR,cell_6,1
BPA-2-IR,cell_60,1
BPA-2-IR,cell_63,1
BPA-2-IR,cell_77,1
BPA-2-IR,cell_81,1
BPA-2-IR,cell_82,1
BPA-2-IR,cell_84,1
BPA-2-IR,cell_89,1
BPA-2-IR,cell_96,1
BPA-2-IR,cell_98,1
BPA-2-IR,cell_10,2
BPA-2-IR,cell_102,2
BPA-2-IR,cell_104,2
BPA-2-IR,cell_11,2
BPA-2-IR,cell_113,2
BPA-2-IR,cell_114,2
BPA-2-IR,cell_115,2
BPA-2-IR,cell_119,2
BPA-2-IR,cell_121,2
BPA-2-IR,cell_135,2
BPA-2-IR,cell_141,2
BPA-2-IR,cell_147,2
BPA-2-IR,cell_15,2
BPA-2-IR,cell_151,2
BPA-2-IR,cell_155,2
BPA-2-IR,cell_156,2
BPA-2-IR,cell_169,2
BPA-2-IR,cell_17,2
BPA-2-IR,cell_177,2
BPA-2-IR,cell_179,2
BPA-2-IR,cell_187,2
BPA-2-IR,cell_190,2
BPA-2-IR,cell_194,2
BPA-2-IR,cell_198,2
BPA-2-IR,cell_213,2
BPA-2-IR,cell_218,2
BPA-2-IR,cell_239,2
BPA-2-IR,cell_24,2
BPA-2-IR,cell_244,2
BPA-2-IR,cell_246,2
BPA-2-IR,cell_249,2
BPA-2-IR,cell_255,2
BPA-2-IR,cell_257,2
BPA-2-IR,cell_266,2
BPA-2-IR,cell_271,2
BPA-2-IR,cell_281,2
BPA-2-IR,cell_302,2
BPA-2-IR,cell_319,2
BPA-2-IR,cell_324,2
BPA-2-IR,cell_36,2
BPA-2-IR,cell_38,2
BPA-2-IR,cell_42,2
BPA-2-IR,cell_44,2
BPA-2-IR,cell_51,2
BPA-2-IR,cell_55,2
BPA-2-IR,cell_7,2
BPA-2-IR,cell_71,2
BPA-2-IR,cell_72,2
BPA-2-IR,cell_87,2
BPA-2-IR,cell_92,2
BPA-2-IR,cell_94,2
BPA-2-IR,cell_97,2
BPA-2-IR,cell_101,3
BPA-2-IR,cell_106,3
BPA-2-IR,cell_109,3
BPA-2-IR,cell_111,3
BPA-2-IR,cell_12,3
BPA-2-IR,cell_126,3
BPA-2-IR,cell_136,3
BPA-2-IR,cell_137,3
BPA-2-IR,cell_139,3
BPA-2-IR,cell_14,3
BPA-2-IR,cell_142,3
BPA-2-IR,cell_144,3
BPA-2-IR,cell_154,3
BPA-2-IR,cell_159,3
BPA-2-IR,cell_161,3
BPA-2-IR,cell_162,3
BPA-2-IR,cell_163,3
BPA-2-IR,cell_165,3
BPA-2-IR,cell_171,3
BPA-2-IR,cell_175,3
BPA-2-IR,cell_18,3
BPA-2-IR,cell_180,3
BPA-2-IR,cell_189,3
BPA-2-IR,cell_208,3
BPA-2-IR,cell_216,3
BPA-2-IR,cell_219,3
BPA-2-IR,cell_227,3
BPA-2-IR,cell_237,3
BPA-2-IR,cell_238,3
BPA-2-IR,cell_245,3
BPA-2-IR,cell_247,3
BPA-2-IR,cell_248,3
BPA-2-IR,cell_261,3
BPA-2-IR,cell_263,3
BPA-2-IR,cell_273,3
BPA-2-IR,cell_275,3
BPA-2-IR,cell_277,3
BPA-2-IR,cell_282,3
BPA-2-IR,cell_29,3
BPA-2-IR,cell_303,3
BPA-2-IR,cell_312,3
BPA-2-IR,cell_318,3
BPA-2-IR,cell_327,3
BPA-2-IR,cell_39,3
BPA-2-IR,cell_62,3
BPA-2-IR,cell_65,3
BPA-2-IR,cell_70,3
BPA-2-IR,cell_76,3
BPA-2-IR,cell_78,3
BPA-2-IR,cell_83,3
BPA-2-IR,cell_85,3
BPA-2-IR,cell_91,3
BPA-2-IR,cell_108,4
BPA-2-IR,cell_206,4
BPA-2-IR,cell_22,4
BPA-2-IR,cell_279,4
BPA-2-IR,cell_50,4
BPA-2-IR,cell_8,4
