sample,cell_barcode,clone_id
BPA-5-RSX,cell_339,1
BPA-5-RSX,cell_362,1
BPA-5-RSX,cell_64,1
BPA-5-RSX,cell_320,1
BPA-5-RSX,cell_457,1
BPA-5-RSX,cell_97,1
BPA-5-RSX,cell_134,1
BPA-5-RSX,cell_216,1
BPA-5-RSX,cell_180,1
BPA-5-RSX,cell_491,1
BPA-5-RSX,cell_377,1
BPA-5-RSX,cell_133,1
BPA-5-RSX,cell_255,1
BPA-5-RSX,cell_266,1
BPA-5-RSX,cell_340,1
BPA-5-RSX,cell_257,1
BPA-5-RSX,cell_28,1
BPA-5-RSX,cell_91,1
BPA-5-RSX,cell_170,1
BPA-5-RSX,cell_185,1
BPA-5-RSX,cell_539,1
BPA-5-RSX,cell_264,1
BPA-5-RSX,cell_276,1
BPA-5-RSX,cell_484,1
BPA-5-RSX,cell_515,1
BPA-5-RSX,cell_350,1
BPA-5-RSX,cell_200,1
BPA-5-RSX,cell_29,1
BPA-5-RSX,cell_57,1
BPA-5-RSX,cell_286,1
BPA-5-RSX,cell_300,1
BPA-5-RSX,cell_516,1
BPA-5-RSX,cell_66,1
BPA-5-RSX,cell_67,1
BPA-5-RSX,cell_221,1
BPA-5-RSX,cell_524,1
BPA-5-RSX,cell_100,1
BPA-5-RSX,cell_490,1
BPA-5-RSX,cell_290,1
BPA-5-RSX,cell_181,1
BPA-5-RSX,cell_349,1
BPA-5-RSX,cell_197,1
BPA-5-RSX,cell_275,1
BPA-5-RSX,cell_372,1
BPA-5-RSX,cell_436,1
BPA-5-RSX,cell_478,1
BPA-5-RSX,cell_53,1
BPA-5-RSX,cell_113,1
BPA-5-RSX,cell_344,1
BPA-5-RSX,cell_50,1
BPA-5-RSX,cell_536,1
BPA-5-RSX,cell_173,1
BPA-5-RSX,cell_387,1
BPA-5-RSX,cell_447,1
BPA-5-RSX,cell_494,1
BPA-5-RSX,cell_148,1
BPA-5-RSX,cell_396,1
BPA-5-RSX,cell_259,1
BPA-5-RSX,cell_191,1
BPA-5-RSX,cell_244,1
BPA-5-RSX,cell_194,1
BPA-5-RSX,cell_314,1
BPA-5-RSX,cell_345,1
BPA-5-RSX,cell_242,1
BPA-5-RSX,cell_70,1
BPA-5-RSX,cell_263,1
BPA-5-RSX,cell_209,1
BPA-5-RSX,cell_537,1
BPA-5-RSX,cell_430,1
BPA-5-RSX,cell_124,1
BPA-5-RSX,cell_405,1
BPA-5-RSX,cell_496,1
BPA-5-RSX,cell_49,1
BPA-5-RSX,cell_540,1
BPA-5-RSX,cell_365,1
BPA-5-RSX,cell_157,1
BPA-5-RSX,cell_165,1
BPA-5-RSX,cell_60,1
BPA-5-RSX,cell_190,1
BPA-5-RSX,cell_82,1
BPA-5-RSX,cell_406,1
BPA-5-RSX,cell_249,1
BPA-5-RSX,cell_429,1
BPA-5-RSX,cell_342,1
BPA-5-RSX,cell_192,1
BPA-5-RSX,cell_523,1
BPA-5-RSX,cell_122,1
BPA-5-RSX,cell_117,1
BPA-5-RSX,cell_114,1
BPA-5-RSX,cell_512,1
BPA-5-RSX,cell_245,1
BPA-5-RSX,cell_103,1
BPA-5-RSX,cell_532,1
BPA-5-RSX,cell_183,1
BPA-5-RSX,cell_102,1
BPA-5-RSX,cell_94,1
BPA-5-RSX,cell_125,1
BPA-5-RSX,cell_307,1
BPA-5-RSX,cell_384,1
BPA-5-RSX,cell_230,1
BPA-5-RSX,cell_188,1
BPA-5-RSX,cell_514,1
BPA-5-RSX,cell_254,1
BPA-5-RSX,cell_471,1
BPA-5-RSX,cell_236,1
BPA-5-RSX,cell_324,1
BPA-5-RSX,cell_30,1
