sample,cell_barcode,clone_id
M12-3,cell_742,1
M12-3,cell_1387,1
M12-3,cell_495,1
M12-3,cell_2083,1
M12-3,cell_213,1
M12-3,cell_814,1
M12-3,cell_2237,1
M12-3,cell_234,1
M12-3,cell_1518,1
M12-3,cell_1321,1
M12-3,cell_1035,1
M12-3,cell_2247,1
M12-3,cell_310,1
M12-3,cell_757,1
M12-3,cell_1405,1
M12-3,cell_556,1
M12-3,cell_1352,1
M12-3,cell_928,1
M12-3,cell_806,1
M12-3,cell_878,1
M12-3,cell_2123,1
M12-3,cell_1274,1
M12-3,cell_490,1
M12-3,cell_2004,1
M12-3,cell_1416,1
M12-3,cell_69,1
M12-3,cell_916,1
M12-3,cell_1043,1
M12-3,cell_943,1
M12-3,cell_1473,1
M12-3,cell_1826,1
M12-3,cell_199,1
M12-3,cell_2136,1
M12-3,cell_1715,1
M12-3,cell_1982,1
M12-3,cell_1010,1
M12-3,cell_2292,1
M12-3,cell_281,1
M12-3,cell_2279,1
M12-3,cell_601,1
M12-3,cell_15,1
M12-3,cell_592,1
M12-3,cell_453,1
M12-3,cell_2035,1
M12-3,cell_1407,1
M12-3,cell_305,1
M12-3,cell_525,1
M12-3,cell_2039,1
M12-3,cell_886,1
M12-3,cell_2286,1
M12-3,cell_1072,1
M12-3,cell_620,1
M12-3,cell_430,1
M12-3,cell_1607,1
M12-3,cell_30,1
M12-3,cell_2134,1
M12-3,cell_1560,1
M12-3,cell_746,1
M12-3,cell_2063,1
M12-3,cell_1368,1
M12-3,cell_1848,1
M12-3,cell_480,1
M12-3,cell_1626,1
M12-3,cell_559,1
M12-3,cell_2068,1
M12-3,cell_1019,1
M12-3,cell_440,1
M12-3,cell_1849,1
M12-3,cell_220,1
M12-3,cell_1991,1
M12-3,cell_1923,1
M12-3,cell_798,1
M12-3,cell_456,1
M12-3,cell_266,1
M12-3,cell_569,1
M12-3,cell_2010,1
M12-3,cell_380,1
M12-3,cell_1632,1
M12-3,cell_1861,1
M12-3,cell_1495,1
M12-3,cell_802,1
M12-3,cell_896,1
M12-3,cell_1362,1
M12-3,cell_1383,1
M12-3,cell_1883,1
M12-3,cell_930,1
M12-3,cell_2009,1
M12-3,cell_591,1
M12-3,cell_1526,1
M12-3,cell_1186,1
M12-3,cell_750,1
M12-3,cell_630,1
M12-3,cell_2224,1
M12-3,cell_954,1
M12-3,cell_165,1
M12-3,cell_1929,1
M12-3,cell_981,1
M12-3,cell_1968,1
M12-3,cell_1470,1
M12-3,cell_42,1
M12-3,cell_2077,1
M12-3,cell_239,1
M12-3,cell_188,1
M12-3,cell_1899,1
M12-3,cell_422,1
M12-3,cell_1183,1
M12-3,cell_1549,1
M12-3,cell_307,1
M12-3,cell_834,1
M12-3,cell_667,1
M12-3,cell_1718,1
M12-3,cell_1212,1
M12-3,cell_960,1
