sample_name,cell_barcode,final_clone_id
M13-1,cell_1,1
M13-1,cell_100,1
M13-1,cell_1005,1
M13-1,cell_1009,1
M13-1,cell_101,1
M13-1,cell_1018,1
M13-1,cell_103,1
M13-1,cell_1030,1
M13-1,cell_1032,1
M13-1,cell_1035,1
M13-1,cell_1038,1
M13-1,cell_104,1
M13-1,cell_1043,1
M13-1,cell_1065,1
M13-1,cell_1067,1
M13-1,cell_1068,1
M13-1,cell_1069,1
M13-1,cell_1083,1
M13-1,cell_109,1
M13-1,cell_1093,1
M13-1,cell_1095,1
M13-1,cell_1097,1
M13-1,cell_1116,1
M13-1,cell_1135,1
M13-1,cell_1138,1
M13-1,cell_115,1
M13-1,cell_1166,1
M13-1,cell_1169,1
M13-1,cell_1171,1
M13-1,cell_1177,1
M13-1,cell_1180,1
M13-1,cell_1184,1
M13-1,cell_119,1
M13-1,cell_1212,1
M13-1,cell_1215,1
M13-1,cell_1225,1
M13-1,cell_1227,1
M13-1,cell_123,1
M13-1,cell_1233,1
M13-1,cell_1234,1
M13-1,cell_1237,1
M13-1,cell_1240,1
M13-1,cell_1256,1
M13-1,cell_126,1
M13-1,cell_1262,1
M13-1,cell_1264,1
M13-1,cell_1266,1
M13-1,cell_1281,1
M13-1,cell_1285,1
M13-1,cell_1286,1
M13-1,cell_1291,1
M13-1,cell_1294,1
M13-1,cell_1297,1
M13-1,cell_1298,1
M13-1,cell_1307,1
M13-1,cell_1309,1
M13-1,cell_1313,1
M13-1,cell_1314,1
M13-1,cell_1316,1
M13-1,cell_1317,1
M13-1,cell_1322,1
M13-1,cell_1323,1
M13-1,cell_134,1
M13-1,cell_1341,1
M13-1,cell_1345,1
M13-1,cell_1347,1
M13-1,cell_1348,1
M13-1,cell_1365,1
M13-1,cell_1371,1
M13-1,cell_1374,1
M13-1,cell_1376,1
M13-1,cell_1385,1
M13-1,cell_1389,1
M13-1,cell_1397,1
M13-1,cell_1406,1
M13-1,cell_1408,1
M13-1,cell_1413,1
M13-1,cell_1415,1
M13-1,cell_1420,1
M13-1,cell_1428,1
M13-1,cell_1437,1
M13-1,cell_1448,1
M13-1,cell_1456,1
M13-1,cell_1460,1
M13-1,cell_1465,1
M13-1,cell_1476,1
M13-1,cell_1477,1
M13-1,cell_1490,1
M13-1,cell_15,1
M13-1,cell_1501,1
M13-1,cell_1511,1
M13-1,cell_1516,1
M13-1,cell_1521,1
M13-1,cell_1522,1
M13-1,cell_1523,1
M13-1,cell_1535,1
M13-1,cell_1537,1
M13-1,cell_1540,1
M13-1,cell_1543,1
M13-1,cell_1544,1
M13-1,cell_1546,1
M13-1,cell_1547,1
M13-1,cell_1552,1
M13-1,cell_1557,1
M13-1,cell_1574,1
M13-1,cell_1581,1
M13-1,cell_1588,1
M13-1,cell_1590,1
M13-1,cell_1602,1
M13-1,cell_1614,1
M13-1,cell_1618,1
M13-1,cell_1621,1
M13-1,cell_1624,1
M13-1,cell_1630,1
M13-1,cell_1632,1
M13-1,cell_1633,1
M13-1,cell_1639,1
M13-1,cell_1640,1
M13-1,cell_1644,1
M13-1,cell_1645,1
M13-1,cell_1653,1
M13-1,cell_1654,1
M13-1,cell_1666,1
M13-1,cell_167,1
M13-1,cell_1670,1
M13-1,cell_1676,1
M13-1,cell_1679,1
M13-1,cell_1680,1
M13-1,cell_1686,1
M13-1,cell_1693,1
M13-1,cell_1694,1
M13-1,cell_1697,1
M13-1,cell_1699,1
M13-1,cell_17,1
M13-1,cell_1703,1
M13-1,cell_1706,1
M13-1,cell_1711,1
M13-1,cell_1712,1
M13-1,cell_1713,1
M13-1,cell_1719,1
M13-1,cell_1720,1
M13-1,cell_1729,1
M13-1,cell_1732,1
M13-1,cell_1741,1
M13-1,cell_1743,1
M13-1,cell_1752,1
M13-1,cell_1755,1
M13-1,cell_1762,1
M13-1,cell_1763,1
M13-1,cell_1776,1
M13-1,cell_1778,1
M13-1,cell_1784,1
M13-1,cell_1791,1
M13-1,cell_18,1
M13-1,cell_1801,1
M13-1,cell_1807,1
M13-1,cell_1808,1
M13-1,cell_1822,1
M13-1,cell_1823,1
M13-1,cell_1829,1
M13-1,cell_1832,1
M13-1,cell_1834,1
M13-1,cell_1837,1
M13-1,cell_1844,1
M13-1,cell_1846,1
M13-1,cell_1847,1
M13-1,cell_185,1
M13-1,cell_1852,1
M13-1,cell_1855,1
M13-1,cell_1858,1
M13-1,cell_1859,1
M13-1,cell_1868,1
M13-1,cell_188,1
M13-1,cell_1884,1
M13-1,cell_1886,1
M13-1,cell_1891,1
M13-1,cell_1906,1
M13-1,cell_1908,1
M13-1,cell_1913,1
M13-1,cell_1917,1
M13-1,cell_1926,1
M13-1,cell_193,1
M13-1,cell_1939,1
M13-1,cell_1942,1
M13-1,cell_1949,1
M13-1,cell_195,1
M13-1,cell_1951,1
M13-1,cell_1957,1
M13-1,cell_1962,1
M13-1,cell_197,1
M13-1,cell_1974,1
M13-1,cell_1979,1
M13-1,cell_1985,1
M13-1,cell_199,1
M13-1,cell_1990,1
M13-1,cell_1994,1
M13-1,cell_1996,1
M13-1,cell_1997,1
M13-1,cell_2006,1
M13-1,cell_2014,1
M13-1,cell_2021,1
M13-1,cell_2023,1
M13-1,cell_2035,1
M13-1,cell_2043,1
M13-1,cell_2048,1
M13-1,cell_2061,1
M13-1,cell_2064,1
M13-1,cell_2070,1
M13-1,cell_2076,1
M13-1,cell_2087,1
M13-1,cell_209,1
M13-1,cell_2099,1
M13-1,cell_210,1
M13-1,cell_2104,1
M13-1,cell_2130,1
M13-1,cell_214,1
M13-1,cell_2141,1
M13-1,cell_2148,1
M13-1,cell_2161,1
M13-1,cell_2162,1
M13-1,cell_217,1
M13-1,cell_2170,1
M13-1,cell_2182,1
M13-1,cell_2183,1
M13-1,cell_219,1
M13-1,cell_222,1
M13-1,cell_223,1
M13-1,cell_228,1
M13-1,cell_236,1
M13-1,cell_237,1
M13-1,cell_238,1
M13-1,cell_248,1
M13-1,cell_256,1
M13-1,cell_263,1
M13-1,cell_279,1
M13-1,cell_289,1
M13-1,cell_295,1
M13-1,cell_30,1
M13-1,cell_307,1
M13-1,cell_308,1
M13-1,cell_31,1
M13-1,cell_312,1
M13-1,cell_33,1
M13-1,cell_336,1
M13-1,cell_339,1
M13-1,cell_342,1
M13-1,cell_344,1
M13-1,cell_347,1
M13-1,cell_348,1
M13-1,cell_349,1
M13-1,cell_355,1
M13-1,cell_368,1
M13-1,cell_37,1
M13-1,cell_379,1
M13-1,cell_384,1
M13-1,cell_391,1
M13-1,cell_403,1
M13-1,cell_407,1
M13-1,cell_414,1
M13-1,cell_416,1
M13-1,cell_418,1
M13-1,cell_431,1
M13-1,cell_434,1
M13-1,cell_436,1
M13-1,cell_439,1
M13-1,cell_457,1
M13-1,cell_459,1
M13-1,cell_464,1
M13-1,cell_47,1
M13-1,cell_470,1
M13-1,cell_476,1
M13-1,cell_48,1
M13-1,cell_485,1
M13-1,cell_496,1
M13-1,cell_50,1
M13-1,cell_506,1
M13-1,cell_514,1
M13-1,cell_521,1
M13-1,cell_53,1
M13-1,cell_533,1
M13-1,cell_543,1
M13-1,cell_544,1
M13-1,cell_555,1
M13-1,cell_556,1
M13-1,cell_558,1
M13-1,cell_567,1
M13-1,cell_573,1
M13-1,cell_574,1
M13-1,cell_575,1
