sample,cell_barcode,clone_id
RA19_10-53_1,cell_1054,1
RA19_10-53_1,cell_1112,1
RA19_10-53_1,cell_1141,1
RA19_10-53_1,cell_1194,1
RA19_10-53_1,cell_1453,1
RA19_10-53_1,cell_1480,1
RA19_10-53_1,cell_1800,1
RA19_10-53_1,cell_1891,1
RA19_10-53_1,cell_1921,1
RA19_10-53_1,cell_1965,1
RA19_10-53_1,cell_1995,1
RA19_10-53_1,cell_220,1
RA19_10-53_1,cell_2367,1
RA19_10-53_1,cell_2447,1
RA19_10-53_1,cell_2491,1
RA19_10-53_1,cell_2502,1
RA19_10-53_1,cell_2611,1
RA19_10-53_1,cell_2685,1
RA19_10-53_1,cell_2748,1
RA19_10-53_1,cell_2778,1
RA19_10-53_1,cell_292,1
RA19_10-53_1,cell_2954,1
RA19_10-53_1,cell_2971,1
RA19_10-53_1,cell_3016,1
RA19_10-53_1,cell_3131,1
RA19_10-53_1,cell_3180,1
RA19_10-53_1,cell_3280,1
RA19_10-53_1,cell_3330,1
RA19_10-53_1,cell_3342,1
RA19_10-53_1,cell_3392,1
RA19_10-53_1,cell_3623,1
RA19_10-53_1,cell_3703,1
RA19_10-53_1,cell_378,1
RA19_10-53_1,cell_3786,1
RA19_10-53_1,cell_3811,1
RA19_10-53_1,cell_3832,1
RA19_10-53_1,cell_394,1
RA19_10-53_1,cell_490,1
RA19_10-53_1,cell_6,1
RA19_10-53_1,cell_809,1
RA19_10-53_1,cell_895,1
RA19_10-51_1,cell_1000,1
RA19_10-51_1,cell_1001,1
RA19_10-51_1,cell_1002,1
RA19_10-51_1,cell_1007,1
RA19_10-51_1,cell_1011,1
RA19_10-51_1,cell_1013,1
RA19_10-51_1,cell_1017,1
RA19_10-51_1,cell_1021,1
RA19_10-51_1,cell_1031,1
RA19_10-51_1,cell_1033,1
RA19_10-51_1,cell_1038,1
RA19_10-51_1,cell_1039,1
RA19_10-51_1,cell_1040,1
RA19_10-51_1,cell_1045,1
RA19_10-51_1,cell_1048,1
RA19_10-51_1,cell_1052,1
RA19_10-51_1,cell_1053,1
RA19_10-51_1,cell_1056,1
RA19_10-51_1,cell_1070,1
RA19_10-51_1,cell_1076,1
RA19_10-51_1,cell_1077,1
RA19_10-51_1,cell_1086,1
RA19_10-51_1,cell_1095,1
RA19_10-51_1,cell_1108,1
RA19_10-51_1,cell_1118,1
RA19_10-51_1,cell_1120,1
RA19_10-51_1,cell_1140,1
RA19_10-51_1,cell_1144,1
RA19_10-51_1,cell_1148,1
RA19_10-51_1,cell_1150,1
RA19_10-51_1,cell_1151,1
RA19_10-51_1,cell_117,1
RA19_10-51_1,cell_1170,1
RA19_10-51_1,cell_1176,1
RA19_10-51_1,cell_1182,1
RA19_10-51_1,cell_1183,1
RA19_10-51_1,cell_1190,1
RA19_10-51_1,cell_1206,1
RA19_10-51_1,cell_1208,1
RA19_10-51_1,cell_1213,1
RA19_10-51_1,cell_1229,1
RA19_10-51_1,cell_1230,1
RA19_10-51_1,cell_1231,1
RA19_10-51_1,cell_1232,1
RA19_10-51_1,cell_1237,1
RA19_10-51_1,cell_124,1
RA19_10-51_1,cell_1251,1
RA19_10-51_1,cell_1274,1
RA19_10-51_1,cell_1280,1
RA19_10-51_1,cell_1289,1
RA19_10-51_1,cell_1293,1
RA19_10-51_1,cell_1305,1
RA19_10-51_1,cell_1313,1
RA19_10-51_1,cell_1316,1
RA19_10-51_1,cell_134,1
RA19_10-51_1,cell_1346,1
RA19_10-51_1,cell_1356,1
RA19_10-51_1,cell_1360,1
RA19_10-51_1,cell_1362,1
RA19_10-51_1,cell_1365,1
RA19_10-51_1,cell_1372,1
RA19_10-51_1,cell_138,1
RA19_10-51_1,cell_1394,1
RA19_10-51_1,cell_14,1
RA19_10-51_1,cell_1402,1
RA19_10-51_1,cell_1413,1
RA19_10-51_1,cell_1419,1
RA19_10-51_1,cell_1425,1
RA19_10-51_1,cell_144,1
RA19_10-51_1,cell_1452,1
RA19_10-51_1,cell_1453,1
RA19_10-51_1,cell_1467,1
RA19_10-51_1,cell_1474,1
RA19_10-51_1,cell_1488,1
RA19_10-51_1,cell_1489,1
RA19_10-51_1,cell_1491,1
RA19_10-51_1,cell_1494,1
RA19_10-51_1,cell_1496,1
RA19_10-51_1,cell_150,1
RA19_10-51_1,cell_1502,1
RA19_10-51_1,cell_1505,1
RA19_10-51_1,cell_1507,1
RA19_10-51_1,cell_1509,1
RA19_10-51_1,cell_1513,1
RA19_10-51_1,cell_1521,1
RA19_10-51_1,cell_153,1
RA19_10-51_1,cell_1532,1
RA19_10-51_1,cell_1536,1
RA19_10-51_1,cell_1537,1
RA19_10-51_1,cell_154,1
RA19_10-51_1,cell_1546,1
RA19_10-51_1,cell_1562,1
RA19_10-51_1,cell_1565,1
RA19_10-51_1,cell_1567,1
RA19_10-51_1,cell_1578,1
RA19_10-51_1,cell_1581,1
RA19_10-51_1,cell_1587,1
RA19_10-51_1,cell_159,1
RA19_10-51_1,cell_1592,1
RA19_10-51_1,cell_1598,1
RA19_10-51_1,cell_1616,1
RA19_10-51_1,cell_1620,1
RA19_10-51_1,cell_1624,1
RA19_10-51_1,cell_1634,1
RA19_10-51_1,cell_1636,1
RA19_10-51_1,cell_1654,1
RA19_10-51_1,cell_1674,1
RA19_10-51_1,cell_1676,1
RA19_10-51_1,cell_1682,1
RA19_10-51_1,cell_1683,1
RA19_10-51_1,cell_1684,1
RA19_10-51_1,cell_1687,1
RA19_10-51_1,cell_1696,1
RA19_10-51_1,cell_170,1
RA19_10-51_1,cell_1700,1
RA19_10-51_1,cell_1709,1
RA19_10-51_1,cell_1718,1
RA19_10-51_1,cell_1723,1
RA19_10-51_1,cell_175,1
RA19_10-51_1,cell_1755,1
RA19_10-51_1,cell_1756,1
RA19_10-51_1,cell_1760,1
RA19_10-51_1,cell_1761,1
RA19_10-51_1,cell_178,1
RA19_10-51_1,cell_1785,1
RA19_10-51_1,cell_1797,1
RA19_10-51_1,cell_181,1
RA19_10-51_1,cell_1821,1
RA19_10-51_1,cell_1823,1
RA19_10-51_1,cell_1833,1
RA19_10-51_1,cell_1849,1
RA19_10-51_1,cell_1850,1
RA19_10-51_1,cell_1876,1
RA19_10-51_1,cell_188,1
RA19_10-51_1,cell_1886,1
RA19_10-51_1,cell_1889,1
RA19_10-51_1,cell_1899,1
RA19_10-51_1,cell_1905,1
RA19_10-51_1,cell_191,1
RA19_10-51_1,cell_1912,1
RA19_10-51_1,cell_1916,1
RA19_10-51_1,cell_193,1
RA19_10-51_1,cell_194,1
RA19_10-51_1,cell_1942,1
RA19_10-51_1,cell_1947,1
RA19_10-51_1,cell_1956,1
RA19_10-51_1,cell_1958,1
RA19_10-51_1,cell_1962,1
RA19_10-51_1,cell_1963,1
RA19_10-51_1,cell_1966,1
RA19_10-51_1,cell_1968,1
RA19_10-51_1,cell_1973,1
RA19_10-51_1,cell_1975,1
RA19_10-51_1,cell_1978,1
RA19_10-51_1,cell_200,1
RA19_10-51_1,cell_2010,1
RA19_10-51_1,cell_2022,1
RA19_10-51_1,cell_2025,1
RA19_10-51_1,cell_203,1
RA19_10-51_1,cell_2030,1
RA19_10-51_1,cell_2048,1
RA19_10-51_1,cell_2051,1
RA19_10-51_1,cell_206,1
RA19_10-51_1,cell_2075,1
RA19_10-51_1,cell_2077,1
RA19_10-51_1,cell_2083,1
RA19_10-51_1,cell_2102,1
RA19_10-51_1,cell_2104,1
RA19_10-51_1,cell_2105,1
RA19_10-51_1,cell_2119,1
RA19_10-51_1,cell_2125,1
RA19_10-51_1,cell_2128,1
RA19_10-51_1,cell_2133,1
RA19_10-51_1,cell_2138,1
RA19_10-51_1,cell_2145,1
RA19_10-51_1,cell_2148,1
RA19_10-51_1,cell_2151,1
RA19_10-51_1,cell_216,1
RA19_10-51_1,cell_2164,1
RA19_10-51_1,cell_217,1
RA19_10-51_1,cell_2181,1
RA19_10-51_1,cell_2183,1
RA19_10-51_1,cell_2190,1
RA19_10-51_1,cell_2192,1
RA19_10-51_1,cell_2199,1
RA19_10-51_1,cell_220,1
RA19_10-51_1,cell_2205,1
RA19_10-51_1,cell_2206,1
RA19_10-51_1,cell_2210,1
RA19_10-51_1,cell_2224,1
RA19_10-51_1,cell_2228,1
RA19_10-51_1,cell_2239,1
RA19_10-51_1,cell_2240,1
RA19_10-51_1,cell_2242,1
RA19_10-51_1,cell_2263,1
RA19_10-51_1,cell_2269,1
RA19_10-51_1,cell_227,1
RA19_10-51_1,cell_2270,1
