sample_name,cell_barcode,final_clone_id
BPA-3-N,cell_2772,1
BPA-3-N,cell_2985,1
BPA-3-N,cell_181,1
BPA-3-N,cell_3828,1
BPA-3-N,cell_1587,1
BPA-3-N,cell_2619,1
BPA-3-N,cell_1006,1
BPA-3-N,cell_3117,1
BPA-3-N,cell_117,1
BPA-3-N,cell_4483,1
BPA-3-N,cell_1373,1
BPA-3-N,cell_4419,1
BPA-3-N,cell_1215,1
BPA-3-N,cell_586,1
BPA-3-N,cell_3122,1
BPA-3-N,cell_2672,1
BPA-3-N,cell_4530,1
BPA-3-N,cell_3309,1
BPA-3-N,cell_4678,1
BPA-3-N,cell_3697,1
BPA-3-RSX,cell_819,1
BPA-3-RSX,cell_1069,1
BPA-3-N,cell_2143,1
BPA-3-N,cell_4344,1
BPA-3-RSX,cell_1256,1
BPA-3-N,cell_4372,1
BPA-3-N,cell_632,1
BPA-3-N,cell_1498,1
BPA-3-N,cell_2586,1
BPA-3-N,cell_1678,1
BPA-3-N,cell_3850,1
BPA-3-N,cell_3757,1
BPA-3-N,cell_1585,1
BPA-3-N,cell_386,1
BPA-3-N,cell_2986,1
BPA-3-N,cell_1071,1
BPA-3-N,cell_2503,1
BPA-3-N,cell_4687,1
BPA-3-RSX,cell_713,1
BPA-3-N,cell_4143,1
BPA-3-N,cell_2279,1
BPA-3-N,cell_3147,1
BPA-3-N,cell_2218,1
BPA-3-N,cell_4033,1
BPA-3-N,cell_4106,1
BPA-3-RSX,cell_1968,1
BPA-3-N,cell_4291,1
BPA-3-N,cell_3100,1
BPA-3-N,cell_3622,1
BPA-3-N,cell_986,1
BPA-3-N,cell_2853,1
BPA-3-N,cell_4043,1
BPA-3-N,cell_1497,1
BPA-3-N,cell_1217,1
BPA-3-N,cell_558,1
BPA-3-N,cell_1075,1
BPA-3-N,cell_1852,1
BPA-3-N,cell_4017,1
BPA-3-N,cell_3857,1
BPA-3-N,cell_2135,1
BPA-3-N,cell_1309,1
BPA-3-RSX,cell_17,1
BPA-3-N,cell_2347,1
BPA-3-N,cell_958,1
BPA-3-N,cell_1442,1
BPA-3-N,cell_2536,1
BPA-3-N,cell_2134,1
BPA-3-N,cell_3401,1
BPA-3-RSX,cell_1873,1
BPA-3-N,cell_2898,1
BPA-3-N,cell_398,1
BPA-3-N,cell_121,1
BPA-3-N,cell_2446,1
BPA-3-N,cell_4644,1
BPA-3-N,cell_1716,1
BPA-3-N,cell_1284,1
BPA-3-N,cell_4278,1
BPA-3-N,cell_3765,1
BPA-3-N,cell_1173,1
BPA-3-N,cell_3342,1
BPA-3-N,cell_4767,1
BPA-3-N,cell_703,1
BPA-3-N,cell_989,1
BPA-3-N,cell_4182,1
BPA-3-N,cell_3515,1
BPA-3-N,cell_3658,1
BPA-3-N,cell_2161,1
BPA-3-N,cell_1739,1
BPA-3-N,cell_4567,1
BPA-3-N,cell_91,1
BPA-3-N,cell_1181,1
BPA-3-N,cell_2554,1
BPA-3-N,cell_3410,1
BPA-3-N,cell_3450,1
BPA-3-N,cell_1976,1
BPA-3-N,cell_4163,1
BPA-3-N,cell_2268,1
BPA-3-N,cell_309,1
BPA-3-N,cell_3987,1
BPA-3-N,cell_1738,1
BPA-3-N,cell_2588,1
BPA-3-N,cell_3311,1
BPA-3-N,cell_3006,1
BPA-3-N,cell_3844,1
BPA-3-N,cell_3516,1
BPA-3-N,cell_4621,1
BPA-3-N,cell_4087,1
BPA-3-N,cell_2151,1
BPA-3-RSX,cell_742,1
BPA-3-N,cell_3740,1
BPA-3-N,cell_251,1
BPA-3-N,cell_1630,1
BPA-3-N,cell_695,1
BPA-3-N,cell_1968,1
BPA-3-N,cell_284,1
BPA-3-N,cell_46,1
BPA-3-N,cell_3109,1
BPA-3-N,cell_2833,1
BPA-3-N,cell_4714,1
BPA-3-N,cell_1706,1
BPA-3-N,cell_4273,1
BPA-3-N,cell_888,1
BPA-3-N,cell_2504,1
BPA-3-N,cell_1090,1
BPA-3-N,cell_4427,1
BPA-3-N,cell_2813,1
BPA-3-N,cell_1030,1
BPA-3-N,cell_2798,1
BPA-3-N,cell_4363,1
BPA-3-N,cell_1159,1
BPA-3-N,cell_433,1
BPA-3-N,cell_2248,1
BPA-3-N,cell_2408,1
BPA-3-N,cell_60,1
BPA-3-N,cell_634,1
BPA-3-N,cell_2831,1
BPA-3-N,cell_580,1
BPA-3-N,cell_3131,1
BPA-3-N,cell_4713,1
BPA-3-N,cell_4665,1
BPA-3-N,cell_2215,1
BPA-3-N,cell_3909,1
BPA-3-N,cell_2491,1
BPA-3-N,cell_3839,1
BPA-3-N,cell_288,1
BPA-3-RSX,cell_2010,1
BPA-3-N,cell_1207,1
BPA-3-N,cell_4671,1
BPA-3-N,cell_1333,1
BPA-3-N,cell_4563,1
BPA-3-N,cell_4399,1
BPA-3-N,cell_2862,1
BPA-3-N,cell_1926,1
BPA-3-N,cell_33,1
BPA-3-N,cell_2025,1
BPA-3-N,cell_1633,1
BPA-3-N,cell_2879,1
BPA-3-N,cell_2198,1
BPA-3-N,cell_1640,1
BPA-3-N,cell_2281,1
BPA-3-N,cell_2049,1
BPA-3-N,cell_2113,1
BPA-3-N,cell_4538,1
BPA-3-N,cell_1534,1
BPA-3-N,cell_2092,1
BPA-3-N,cell_1308,1
BPA-3-N,cell_471,1
BPA-3-N,cell_4528,1
BPA-3-RSX,cell_832,1
BPA-3-N,cell_2185,1
BPA-3-N,cell_4343,1
BPA-3-N,cell_4750,1
BPA-3-N,cell_3002,1
BPA-3-RSX,cell_1646,1
BPA-3-N,cell_3148,1
BPA-3-N,cell_3968,1
BPA-3-N,cell_1667,1
BPA-3-N,cell_1557,1
BPA-3-N,cell_4493,1
BPA-3-RSX,cell_1718,1
BPA-3-N,cell_106,1
BPA-3-N,cell_1341,1
BPA-3-N,cell_1231,1
BPA-3-N,cell_3630,1
BPA-3-RSX,cell_1137,1
BPA-3-N,cell_2047,1
BPA-3-N,cell_646,1
BPA-3-RSX,cell_515,1
BPA-3-N,cell_4398,1
BPA-3-N,cell_1326,1
BPA-3-N,cell_2589,1
BPA-3-RSX,cell_861,1
BPA-3-N,cell_4120,1
BPA-3-N,cell_1835,1
BPA-3-N,cell_202,1
BPA-3-N,cell_2747,1
BPA-3-N,cell_569,1
BPA-3-N,cell_2260,1
BPA-3-N,cell_3107,1
BPA-3-N,cell_2576,1
BPA-3-N,cell_1043,1
BPA-3-N,cell_859,1
BPA-3-N,cell_4535,1
BPA-3-N,cell_41,1
BPA-3-N,cell_2367,1
BPA-3-N,cell_2042,1
BPA-3-N,cell_2529,1
BPA-3-N,cell_4782,1
BPA-3-N,cell_4658,1
BPA-3-N,cell_1475,1
BPA-3-N,cell_1515,1
BPA-3-N,cell_2138,1
BPA-3-N,cell_2888,1
BPA-3-N,cell_3794,1
BPA-3-N,cell_2908,1
BPA-3-N,cell_3241,1
BPA-3-N,cell_1495,1
BPA-3-N,cell_2208,1
BPA-3-N,cell_4360,1
BPA-3-N,cell_2209,1
BPA-3-N,cell_3705,1
BPA-3-RSX,cell_2480,1
BPA-3-N,cell_307,1
BPA-3-N,cell_1604,1
BPA-3-N,cell_2623,1
BPA-3-N,cell_4383,1
BPA-3-N,cell_485,1
BPA-3-N,cell_4558,1
BPA-3-N,cell_484,1
BPA-3-RSX,cell_683,1
BPA-3-N,cell_1775,1
BPA-3-N,cell_1720,1
BPA-3-N,cell_2642,1
BPA-3-N,cell_3615,1
BPA-3-N,cell_439,1
BPA-3-N,cell_2101,1
BPA-3-N,cell_2481,1
BPA-3-N,cell_1769,1
BPA-3-N,cell_768,1
BPA-3-N,cell_2640,1
BPA-3-N,cell_2045,1
BPA-3-N,cell_1639,1
BPA-3-N,cell_1051,1
BPA-3-N,cell_3312,1
BPA-3-N,cell_826,1
BPA-3-N,cell_3205,1
BPA-3-N,cell_919,1
BPA-3-N,cell_1995,1
BPA-3-N,cell_32,1
BPA-3-N,cell_3613,1
BPA-3-N,cell_17,1
BPA-3-N,cell_4472,1
BPA-3-N,cell_3335,1
BPA-3-N,cell_153,1
BPA-3-N,cell_4082,1
BPA-3-N,cell_4803,1
BPA-3-N,cell_3792,1
BPA-3-N,cell_55,1
BPA-3-N,cell_71,1
BPA-3-N,cell_2315,1
BPA-3-N,cell_706,1
BPA-3-N,cell_4094,1
BPA-3-N,cell_2024,1
BPA-3-N,cell_1426,1
BPA-3-N,cell_2974,1
BPA-3-N,cell_4615,1
BPA-3-RSX,cell_432,1
BPA-3-N,cell_3036,1
BPA-3-N,cell_3188,1
BPA-3-N,cell_1527,1
BPA-3-N,cell_1070,2
BPA-3-N,cell_4790,2
BPA-3-N,cell_4240,2
BPA-3-N,cell_56,2
BPA-3-N,cell_4233,2
BPA-3-N,cell_743,2
BPA-3-N,cell_1997,2
BPA-3-N,cell_4323,2
BPA-3-N,cell_2035,2
BPA-3-N,cell_1751,2
BPA-3-N,cell_1490,2
BPA-3-N,cell_2886,2
BPA-3-N,cell_1272,2
BPA-3-N,cell_1250,2
BPA-3-N,cell_70,2
BPA-3-N,cell_331,2
BPA-3-N,cell_169,2
BPA-3-N,cell_2964,2
BPA-3-N,cell_3272,2
BPA-3-N,cell_727,2
BPA-3-N,cell_3660,2
BPA-3-N,cell_4741,2
BPA-3-N,cell_1230,2
BPA-3-N,cell_3367,2
BPA-3-N,cell_334,2
BPA-3-N,cell_2296,2
BPA-3-N,cell_2828,2
BPA-3-N,cell_2159,2
BPA-3-N,cell_2955,2
BPA-3-N,cell_3699,2
BPA-3-N,cell_1151,2
BPA-3-N,cell_1484,2
BPA-3-N,cell_3954,2
BPA-3-N,cell_1216,2
BPA-3-N,cell_887,2
BPA-3-N,cell_3690,2
BPA-3-N,cell_742,2
BPA-3-N,cell_1218,2
BPA-3-N,cell_3837,2
BPA-3-N,cell_997,2
BPA-3-N,cell_3160,2
BPA-3-N,cell_1214,2
BPA-3-N,cell_3751,2
BPA-3-N,cell_3596,2
BPA-3-N,cell_3257,2
BPA-3-N,cell_3625,2
BPA-3-N,cell_3990,2
BPA-3-N,cell_601,2
BPA-3-N,cell_3119,2
BPA-3-N,cell_2661,2
BPA-3-N,cell_2699,2
BPA-3-RSX,cell_995,3
BPA-3-RSX,cell_557,3
BPA-3-RSX,cell_1466,3
BPA-3-RSX,cell_1433,3
BPA-3-RSX,cell_1440,3
