sample_name,cell_barcode,final_clone_id
BPA-1-IR,cell_104,1
BPA-1-IR,cell_106,1
BPA-1-IR,cell_108,1
BPA-1-IR,cell_110,1
BPA-1-IR,cell_113,1
BPA-1-IR,cell_121,1
BPA-1-IR,cell_125,1
BPA-1-IR,cell_127,1
BPA-1-IR,cell_129,1
BPA-1-IR,cell_130,1
BPA-1-IR,cell_131,1
BPA-1-IR,cell_137,1
BPA-1-IR,cell_141,1
BPA-1-IR,cell_142,1
BPA-1-IR,cell_146,1
BPA-1-IR,cell_148,1
BPA-1-IR,cell_150,1
BPA-1-IR,cell_159,1
BPA-1-IR,cell_161,1
BPA-1-IR,cell_171,1
BPA-1-IR,cell_174,1
BPA-1-IR,cell_176,1
BPA-1-IR,cell_195,1
BPA-1-IR,cell_2,1
BPA-1-IR,cell_202,1
BPA-1-IR,cell_211,1
BPA-1-IR,cell_221,1
BPA-1-IR,cell_222,1
BPA-1-IR,cell_232,1
BPA-1-IR,cell_233,1
BPA-1-IR,cell_237,1
BPA-1-IR,cell_241,1
BPA-1-IR,cell_242,1
BPA-1-IR,cell_244,1
BPA-1-IR,cell_247,1
BPA-1-IR,cell_253,1
BPA-1-IR,cell_26,1
BPA-1-IR,cell_267,1
BPA-1-IR,cell_27,1
BPA-1-IR,cell_272,1
BPA-1-IR,cell_275,1
BPA-1-IR,cell_279,1
BPA-1-IR,cell_28,1
BPA-1-IR,cell_281,1
BPA-1-IR,cell_289,1
BPA-1-IR,cell_293,1
BPA-1-IR,cell_302,1
BPA-1-IR,cell_305,1
BPA-1-IR,cell_313,1
BPA-1-IR,cell_320,1
BPA-1-IR,cell_324,1
BPA-1-IR,cell_325,1
BPA-1-IR,cell_326,1
BPA-1-IR,cell_329,1
BPA-1-IR,cell_334,1
BPA-1-IR,cell_340,1
BPA-1-IR,cell_342,1
BPA-1-IR,cell_356,1
BPA-1-IR,cell_362,1
BPA-1-IR,cell_365,1
BPA-1-IR,cell_367,1
BPA-1-IR,cell_376,1
BPA-1-IR,cell_389,1
BPA-1-IR,cell_39,1
BPA-1-IR,cell_390,1
BPA-1-IR,cell_392,1
BPA-1-IR,cell_398,1
BPA-1-IR,cell_399,1
BPA-1-IR,cell_407,1
BPA-1-IR,cell_409,1
BPA-1-IR,cell_414,1
BPA-1-IR,cell_419,1
BPA-1-IR,cell_427,1
BPA-1-IR,cell_429,1
BPA-1-IR,cell_43,1
BPA-1-IR,cell_431,1
BPA-1-IR,cell_434,1
BPA-1-IR,cell_436,1
BPA-1-IR,cell_44,1
BPA-1-IR,cell_440,1
BPA-1-IR,cell_443,1
BPA-1-IR,cell_448,1
BPA-1-IR,cell_451,1
BPA-1-IR,cell_457,1
BPA-1-IR,cell_458,1
