sample,cell_barcode,clone_id
BPA-5-RSX,cell_382,1
BPA-5-RSX,cell_157,2
BPA-5-RSX,cell_255,2
BPA-5-RSX,cell_221,2
BPA-5-RSX,cell_245,2
BPA-5-RSX,cell_275,2
BPA-5-RSX,cell_165,2
BPA-5-RSX,cell_30,2
BPA-5-RSX,cell_113,2
BPA-5-RSX,cell_266,2
BPA-5-RSX,cell_67,2
BPA-5-RSX,cell_94,2
BPA-5-RSX,cell_49,2
BPA-5-RSX,cell_340,2
BPA-5-RSX,cell_57,2
BPA-5-RSX,cell_539,2
BPA-5-RSX,cell_259,2
BPA-5-RSX,cell_349,2
BPA-5-RSX,cell_134,2
BPA-5-RSX,cell_100,2
BPA-5-RSX,cell_494,2
BPA-5-RSX,cell_66,2
BPA-5-RSX,cell_190,2
BPA-5-RSX,cell_70,2
BPA-5-RSX,cell_320,2
BPA-5-RSX,cell_264,2
BPA-5-RSX,cell_324,2
BPA-5-RSX,cell_97,2
BPA-5-RSX,cell_290,2
BPA-5-RSX,cell_185,2
BPA-5-RSX,cell_133,2
BPA-5-RSX,cell_430,2
BPA-5-RSX,cell_524,2
BPA-5-RSX,cell_405,2
BPA-5-RSX,cell_342,2
BPA-5-RSX,cell_447,2
BPA-5-RSX,cell_471,2
BPA-5-RSX,cell_230,2
BPA-5-RSX,cell_406,2
BPA-5-RSX,cell_429,2
BPA-5-RSX,cell_286,2
BPA-5-RSX,cell_216,2
BPA-5-RSX,cell_276,2
BPA-5-RSX,cell_183,2
BPA-5-RSX,cell_114,2
BPA-5-RSX,cell_249,2
BPA-5-RSX,cell_29,2
BPA-5-RSX,cell_372,2
BPA-5-RSX,cell_540,2
BPA-5-RSX,cell_180,2
BPA-5-RSX,cell_257,2
BPA-5-RSX,cell_102,2
BPA-5-RSX,cell_91,2
BPA-5-RSX,cell_490,2
BPA-5-RSX,cell_484,2
BPA-5-RSX,cell_28,2
BPA-5-RSX,cell_514,2
BPA-5-RSX,cell_350,2
BPA-5-RSX,cell_436,2
BPA-5-RSX,cell_515,2
BPA-5-RSX,cell_148,2
BPA-5-RSX,cell_64,2
BPA-5-RSX,cell_170,2
BPA-5-RSX,cell_387,2
BPA-5-RSX,cell_125,2
BPA-5-RSX,cell_307,2
BPA-5-RSX,cell_244,2
BPA-5-RSX,cell_537,2
BPA-5-RSX,cell_523,2
BPA-5-RSX,cell_362,2
BPA-5-RSX,cell_173,2
BPA-5-RSX,cell_50,2
BPA-5-RSX,cell_242,2
BPA-5-RSX,cell_197,2
BPA-5-RSX,cell_384,2
BPA-5-RSX,cell_339,2
BPA-5-RSX,cell_236,2
BPA-5-RSX,cell_188,2
BPA-5-RSX,cell_345,2
BPA-5-RSX,cell_124,2
BPA-5-RSX,cell_516,2
BPA-5-RSX,cell_532,2
BPA-5-RSX,cell_209,2
BPA-5-RSX,cell_491,2
BPA-5-RSX,cell_103,2
BPA-5-RSX,cell_181,2
BPA-5-RSX,cell_457,2
BPA-5-RSX,cell_377,2
BPA-5-RSX,cell_82,2
BPA-5-RSX,cell_300,2
BPA-5-RSX,cell_365,2
BPA-5-RSX,cell_396,2
BPA-5-RSX,cell_344,2
BPA-5-RSX,cell_496,2
BPA-5-RSX,cell_60,2
BPA-5-RSX,cell_122,2
BPA-5-RSX,cell_254,2
BPA-5-RSX,cell_314,2
BPA-5-RSX,cell_191,2
BPA-5-RSX,cell_263,2
BPA-5-RSX,cell_200,2
BPA-5-RSX,cell_192,2
BPA-5-RSX,cell_512,2
BPA-5-RSX,cell_194,2
BPA-5-RSX,cell_117,2
BPA-5-RSX,cell_478,2
BPA-5-RSX,cell_53,2
BPA-5-RSX,cell_536,2
