sample,cell_barcode,clone_id
M11-1,cell_10,1
M11-1,cell_1002,1
M11-1,cell_1010,1
M11-1,cell_1016,1
M11-1,cell_1018,1
M11-1,cell_1019,1
M11-1,cell_1025,1
M11-1,cell_1026,1
M11-1,cell_1033,1
M11-1,cell_1039,1
M11-1,cell_105,1
M11-1,cell_1051,1
M11-1,cell_106,1
M11-1,cell_1061,1
M11-1,cell_1068,1
M11-1,cell_1069,1
M11-1,cell_1072,1
M11-1,cell_1075,1
M11-1,cell_1076,1
M11-1,cell_1086,1
M11-1,cell_1090,1
M11-1,cell_1092,1
M11-1,cell_1094,1
M11-1,cell_1095,1
M11-1,cell_1096,1
M11-1,cell_1097,1
M11-1,cell_1107,1
M11-1,cell_1111,1
M11-1,cell_1118,1
M11-1,cell_112,1
M11-1,cell_1121,1
M11-1,cell_1126,1
M11-1,cell_1127,1
M11-1,cell_1129,1
M11-1,cell_1130,1
M11-1,cell_1131,1
M11-1,cell_1136,1
M11-1,cell_1137,1
M11-1,cell_1145,1
M11-1,cell_1146,1
M11-1,cell_1149,1
M11-1,cell_1153,1
M11-1,cell_1156,1
M11-1,cell_116,1
M11-1,cell_1164,1
M11-1,cell_1165,1
M11-1,cell_1166,1
M11-1,cell_1168,1
M11-1,cell_1171,1
M11-1,cell_1174,1
M11-1,cell_1177,1
M11-1,cell_1181,1
M11-1,cell_1183,1
M11-1,cell_1187,1
M11-1,cell_1188,1
M11-1,cell_1193,1
M11-1,cell_1196,1
M11-1,cell_1197,1
M11-1,cell_12,1
M11-1,cell_1204,1
M11-1,cell_1205,1
M11-1,cell_1207,1
M11-1,cell_1213,1
M11-1,cell_1215,1
M11-1,cell_1218,1
M11-1,cell_1221,1
M11-1,cell_1224,1
M11-1,cell_1227,1
M11-1,cell_1228,1
M11-1,cell_123,1
M11-1,cell_1234,1
M11-1,cell_1244,1
M11-1,cell_1246,1
M11-1,cell_1251,1
M11-1,cell_1255,1
M11-1,cell_1258,1
M11-1,cell_1263,1
M11-1,cell_1275,1
M11-1,cell_1277,1
M11-1,cell_1279,1
M11-1,cell_1284,1
M11-1,cell_1285,1
M11-1,cell_1289,1
M11-1,cell_129,1
M11-1,cell_1298,1
M11-1,cell_1299,1
M11-1,cell_1300,1
M11-1,cell_1301,1
M11-1,cell_1304,1
M11-1,cell_1306,1
M11-1,cell_1311,1
M11-1,cell_1314,1
M11-1,cell_1315,1
M11-1,cell_132,1
M11-1,cell_1322,1
M11-1,cell_1329,1
M11-1,cell_133,1
M11-1,cell_1334,1
M11-1,cell_1336,1
M11-1,cell_1342,1
M11-1,cell_1353,1
M11-1,cell_1360,1
M11-1,cell_1363,1
M11-1,cell_1378,1
M11-1,cell_138,1
M11-1,cell_1380,1
M11-1,cell_1386,1
M11-1,cell_1397,1
M11-1,cell_1401,1
M11-1,cell_1407,1
M11-1,cell_1410,1
M11-1,cell_1414,1
M11-1,cell_1415,1
M11-1,cell_1418,1
M11-1,cell_143,1
M11-1,cell_1430,1
M11-1,cell_1431,1
M11-1,cell_1432,1
M11-1,cell_1434,1
M11-1,cell_1450,1
M11-1,cell_1457,1
M11-1,cell_1459,1
M11-1,cell_1466,1
M11-1,cell_1469,1
M11-1,cell_1476,1
M11-1,cell_1481,1
M11-1,cell_1482,1
M11-1,cell_1486,1
M11-1,cell_1487,1
M11-1,cell_1488,1
M11-1,cell_149,1
M11-1,cell_1490,1
M11-1,cell_1494,1
M11-1,cell_1497,1
M11-1,cell_150,1
M11-1,cell_1501,1
M11-1,cell_1502,1
M11-1,cell_1503,1
M11-1,cell_1504,1
M11-1,cell_1506,1
M11-1,cell_1512,1
M11-1,cell_1513,1
M11-1,cell_152,1
M11-1,cell_1526,1
M11-1,cell_1528,1
M11-1,cell_1529,1
