sample_name,cell_barcode,final_clone_id
RA17_13-34_1,cell_266,3
RA17_13-34_1,cell_323,3
RA17_13-55_1,cell_763,3
RA17_13-56_1,cell_243,3
RA17_13-56_1,cell_764,3
RA17_13-73_4,cell_1000,3
RA17_13-73_4,cell_1001,3
RA17_13-73_4,cell_1005,3
RA17_13-73_4,cell_1008,3
RA17_13-73_4,cell_1015,3
RA17_13-73_4,cell_1016,3
RA17_13-73_4,cell_1019,3
RA17_13-73_4,cell_1021,3
RA17_13-73_4,cell_1024,3
RA17_13-73_4,cell_1034,3
RA17_13-73_4,cell_104,3
RA17_13-73_4,cell_1040,3
RA17_13-73_4,cell_1041,3
RA17_13-73_4,cell_1052,3
RA17_13-73_4,cell_1055,3
RA17_13-73_4,cell_106,3
RA17_13-73_4,cell_1064,3
RA17_13-73_4,cell_1072,3
RA17_13-73_4,cell_1076,3
RA17_13-73_4,cell_1082,3
RA17_13-73_4,cell_1085,3
RA17_13-73_4,cell_1086,3
RA17_13-73_4,cell_1089,3
RA17_13-73_4,cell_1092,3
RA17_13-73_4,cell_1097,3
RA17_13-73_4,cell_1098,3
RA17_13-73_4,cell_1101,3
RA17_13-73_4,cell_1103,3
RA17_13-73_4,cell_1104,3
RA17_13-73_4,cell_1107,3
RA17_13-73_4,cell_1114,3
RA17_13-73_4,cell_1116,3
RA17_13-73_4,cell_1123,3
RA17_13-73_4,cell_1125,3
RA17_13-73_4,cell_1129,3
RA17_13-73_4,cell_113,3
RA17_13-73_4,cell_1132,3
RA17_13-73_4,cell_1149,3
RA17_13-73_4,cell_1150,3
RA17_13-73_4,cell_1154,3
RA17_13-73_4,cell_1155,3
RA17_13-73_4,cell_1156,3
RA17_13-73_4,cell_1157,3
RA17_13-73_4,cell_1158,3
RA17_13-73_4,cell_1163,3
RA17_13-73_4,cell_1165,3
RA17_13-73_4,cell_1176,3
RA17_13-73_4,cell_1178,3
RA17_13-73_4,cell_1181,3
RA17_13-73_4,cell_1189,3
RA17_13-73_4,cell_1191,3
RA17_13-73_4,cell_12,3
RA17_13-73_4,cell_120,3
RA17_13-73_4,cell_1201,3
RA17_13-73_4,cell_1204,3
RA17_13-73_4,cell_1205,3
RA17_13-73_4,cell_1207,3
RA17_13-73_4,cell_1208,3
RA17_13-73_4,cell_1212,3
RA17_13-73_4,cell_1219,3
RA17_13-73_4,cell_1220,3
RA17_13-73_4,cell_1222,3
RA17_13-73_4,cell_1223,3
RA17_13-73_4,cell_1225,3
RA17_13-73_4,cell_1228,3
RA17_13-73_4,cell_1236,3
RA17_13-73_4,cell_1242,3
RA17_13-73_4,cell_1247,3
RA17_13-73_4,cell_1253,3
RA17_13-73_4,cell_1258,3
RA17_13-73_4,cell_1262,3
RA17_13-73_4,cell_1263,3
RA17_13-73_4,cell_1264,3
RA17_13-73_4,cell_1266,3
RA17_13-73_4,cell_1267,3
RA17_13-73_4,cell_1275,3
RA17_13-73_4,cell_128,3
RA17_13-73_4,cell_1283,3
RA17_13-73_4,cell_1284,3
RA17_13-73_4,cell_1287,3
RA17_13-73_4,cell_1290,3
RA17_13-73_4,cell_1292,3
RA17_13-73_4,cell_1302,3
RA17_13-73_4,cell_1306,3
RA17_13-73_4,cell_1309,3
RA17_13-73_4,cell_1312,3
RA17_13-73_4,cell_1313,3
RA17_13-73_4,cell_1316,3
RA17_13-73_4,cell_1318,3
RA17_13-73_4,cell_1323,3
RA17_13-73_4,cell_1325,3
RA17_13-73_4,cell_1327,3
RA17_13-73_4,cell_1328,3
RA17_13-73_4,cell_1330,3
RA17_13-73_4,cell_1331,3
RA17_13-73_4,cell_134,3
RA17_13-73_4,cell_1340,3
RA17_13-73_4,cell_1345,3
RA17_13-73_4,cell_1346,3
RA17_13-73_4,cell_1347,3
RA17_13-73_4,cell_1352,3
RA17_13-73_4,cell_1366,3
RA17_13-73_4,cell_1371,3
RA17_13-73_4,cell_1372,3
RA17_13-73_4,cell_1374,3
RA17_13-73_4,cell_1375,3
RA17_13-73_4,cell_1376,3
RA17_13-73_4,cell_1378,3
RA17_13-73_4,cell_1379,3
RA17_13-73_4,cell_1381,3
RA17_13-73_4,cell_1390,3
RA17_13-73_4,cell_1398,3
RA17_13-73_4,cell_1399,3
RA17_13-73_4,cell_14,3
RA17_13-73_4,cell_1401,3
RA17_13-73_4,cell_1405,3
RA17_13-73_4,cell_1407,3
RA17_13-73_4,cell_141,3
RA17_13-73_4,cell_1415,3
RA17_13-73_4,cell_1420,3
RA17_13-73_4,cell_1425,3
RA17_13-73_4,cell_1427,3
RA17_13-73_4,cell_1431,3
RA17_13-73_4,cell_1433,3
RA17_13-73_4,cell_1439,3
RA17_13-73_4,cell_144,3
RA17_13-73_4,cell_1440,3
RA17_13-73_4,cell_1444,3
RA17_13-73_4,cell_1451,3
RA17_13-73_4,cell_1452,3
RA17_13-73_4,cell_1456,3
RA17_13-73_4,cell_1457,3
RA17_13-73_4,cell_1459,3
RA17_13-73_4,cell_1460,3
RA17_13-73_4,cell_1465,3
RA17_13-73_4,cell_1467,3
RA17_13-73_4,cell_147,3
RA17_13-73_4,cell_1470,3
RA17_13-73_4,cell_1471,3
RA17_13-73_4,cell_1477,3
RA17_13-73_4,cell_1482,3
RA17_13-73_4,cell_1486,3
RA17_13-73_4,cell_1489,3
RA17_13-73_4,cell_1493,3
RA17_13-73_4,cell_1495,3
RA17_13-73_4,cell_1496,3
RA17_13-73_4,cell_1498,3
RA17_13-73_4,cell_150,3
RA17_13-73_4,cell_1500,3
RA17_13-73_4,cell_1502,3
RA17_13-73_4,cell_1505,3
RA17_13-73_4,cell_1506,3
RA17_13-73_4,cell_1509,3
RA17_13-73_4,cell_151,3
RA17_13-73_4,cell_1519,3
RA17_13-73_4,cell_1520,3
RA17_13-73_4,cell_1527,3
RA17_13-73_4,cell_1543,3
RA17_13-73_4,cell_1545,3
RA17_13-73_4,cell_1548,3
RA17_13-73_4,cell_1549,3
RA17_13-73_4,cell_1550,3
RA17_13-73_4,cell_1551,3
RA17_13-73_4,cell_1552,3
RA17_13-73_4,cell_1554,3
RA17_13-73_4,cell_156,3
RA17_13-73_4,cell_1568,3
RA17_13-73_4,cell_1571,3
RA17_13-73_4,cell_1572,3
RA17_13-73_4,cell_1574,3
RA17_13-73_4,cell_1578,3
RA17_13-73_4,cell_1583,3
RA17_13-73_4,cell_1589,3
RA17_13-73_4,cell_159,3
RA17_13-73_4,cell_1590,3
RA17_13-73_4,cell_1595,3
RA17_13-73_4,cell_16,3
RA17_13-73_4,cell_1600,3
RA17_13-73_4,cell_1602,3
RA17_13-73_4,cell_1605,3
RA17_13-73_4,cell_1608,3
RA17_13-73_4,cell_161,3
RA17_13-73_4,cell_1611,3
RA17_13-73_4,cell_162,3
RA17_13-73_4,cell_1622,3
RA17_13-73_4,cell_1632,3
RA17_13-73_4,cell_1636,3
RA17_13-73_4,cell_164,3
RA17_13-73_4,cell_1642,3
RA17_13-73_4,cell_1645,3
RA17_13-73_4,cell_1647,3
RA17_13-73_4,cell_1649,3
RA17_13-73_4,cell_1653,3
RA17_13-73_4,cell_1656,3
RA17_13-73_4,cell_1659,3
RA17_13-73_4,cell_166,3
RA17_13-73_4,cell_1661,3
RA17_13-73_4,cell_1663,3
RA17_13-73_4,cell_1665,3
RA17_13-73_4,cell_1668,3
RA17_13-73_4,cell_1671,3
RA17_13-73_4,cell_1674,3
RA17_13-73_4,cell_1678,3
RA17_13-73_4,cell_168,3
RA17_13-73_4,cell_1680,3
RA17_13-73_4,cell_169,3
RA17_13-73_4,cell_1690,3
RA17_13-73_4,cell_1692,3
RA17_13-73_4,cell_1699,3
RA17_13-73_4,cell_1700,3
RA17_13-73_4,cell_1701,3
RA17_13-73_4,cell_1703,3
RA17_13-73_4,cell_1705,3
RA17_13-73_4,cell_1710,3
