sample,cell_barcode,clone_id
RA19_02-42_3,cell_2112,1
RA19_02-42_3,cell_336,1
RA19_02-37_1,cell_1184,1
RA19_02-37_1,cell_141,1
RA19_02-37_1,cell_1631,1
RA19_02-37_1,cell_324,1
RA19_02-37_1,cell_895,1
RA19_02-42_3,cell_1016,2
RA19_02-42_3,cell_1027,2
RA19_02-42_3,cell_1044,2
RA19_02-42_3,cell_1045,2
RA19_02-42_3,cell_1060,2
RA19_02-42_3,cell_1064,2
RA19_02-42_3,cell_1068,2
RA19_02-42_3,cell_1089,2
RA19_02-42_3,cell_109,2
RA19_02-42_3,cell_111,2
RA19_02-42_3,cell_1115,2
RA19_02-42_3,cell_1116,2
RA19_02-42_3,cell_1141,2
RA19_02-42_3,cell_1147,2
RA19_02-42_3,cell_115,2
RA19_02-42_3,cell_1175,2
RA19_02-42_3,cell_119,2
RA19_02-42_3,cell_1193,2
RA19_02-42_3,cell_12,2
RA19_02-42_3,cell_1205,2
RA19_02-42_3,cell_1217,2
RA19_02-42_3,cell_1234,2
RA19_02-42_3,cell_1260,2
RA19_02-42_3,cell_1269,2
RA19_02-42_3,cell_1278,2
RA19_02-42_3,cell_1295,2
RA19_02-42_3,cell_1298,2
RA19_02-42_3,cell_1307,2
RA19_02-42_3,cell_1310,2
RA19_02-42_3,cell_1318,2
RA19_02-42_3,cell_1322,2
RA19_02-42_3,cell_1331,2
RA19_02-42_3,cell_1333,2
RA19_02-42_3,cell_1339,2
RA19_02-42_3,cell_1344,2
RA19_02-42_3,cell_1360,2
RA19_02-42_3,cell_1361,2
RA19_02-42_3,cell_1364,2
RA19_02-42_3,cell_1372,2
RA19_02-42_3,cell_1377,2
RA19_02-42_3,cell_1390,2
RA19_02-42_3,cell_1399,2
RA19_02-42_3,cell_1401,2
RA19_02-42_3,cell_1419,2
RA19_02-42_3,cell_1421,2
RA19_02-42_3,cell_1424,2
RA19_02-42_3,cell_1425,2
RA19_02-42_3,cell_1429,2
RA19_02-42_3,cell_146,2
RA19_02-42_3,cell_1462,2
RA19_02-42_3,cell_1463,2
RA19_02-42_3,cell_1494,2
RA19_02-42_3,cell_1505,2
RA19_02-42_3,cell_1513,2
RA19_02-42_3,cell_1532,2
RA19_02-42_3,cell_1534,2
RA19_02-42_3,cell_1539,2
RA19_02-42_3,cell_1544,2
RA19_02-42_3,cell_1547,2
RA19_02-42_3,cell_1550,2
RA19_02-42_3,cell_1557,2
RA19_02-42_3,cell_1561,2
RA19_02-42_3,cell_1564,2
RA19_02-42_3,cell_1587,2
RA19_02-42_3,cell_160,2
RA19_02-42_3,cell_1608,2
RA19_02-42_3,cell_1612,2
RA19_02-42_3,cell_1614,2
RA19_02-42_3,cell_1619,2
RA19_02-42_3,cell_162,2
RA19_02-42_3,cell_1629,2
RA19_02-42_3,cell_1632,2
RA19_02-42_3,cell_1637,2
RA19_02-42_3,cell_1652,2
RA19_02-42_3,cell_167,2
RA19_02-42_3,cell_1685,2
RA19_02-42_3,cell_1687,2
RA19_02-42_3,cell_1689,2
RA19_02-42_3,cell_1695,2
RA19_02-42_3,cell_1696,2
RA19_02-42_3,cell_1699,2
RA19_02-42_3,cell_1706,2
RA19_02-42_3,cell_1713,2
RA19_02-42_3,cell_1723,2
RA19_02-42_3,cell_1741,2
RA19_02-42_3,cell_1757,2
RA19_02-42_3,cell_1758,2
RA19_02-42_3,cell_1759,2
RA19_02-42_3,cell_1761,2
RA19_02-42_3,cell_178,2
RA19_02-42_3,cell_1792,2
RA19_02-42_3,cell_1794,2
RA19_02-42_3,cell_1799,2
RA19_02-42_3,cell_18,2
RA19_02-42_3,cell_1824,2
RA19_02-42_3,cell_1825,2
RA19_02-42_3,cell_184,2
RA19_02-42_3,cell_1845,2
RA19_02-42_3,cell_1847,2
RA19_02-42_3,cell_1854,2
RA19_02-42_3,cell_186,2
RA19_02-42_3,cell_1867,2
RA19_02-42_3,cell_187,2
RA19_02-42_3,cell_1871,2
RA19_02-42_3,cell_1872,2
RA19_02-42_3,cell_1898,2
RA19_02-42_3,cell_1913,2
RA19_02-42_3,cell_1915,2
RA19_02-42_3,cell_192,2
RA19_02-42_3,cell_1929,2
RA19_02-42_3,cell_1936,2
RA19_02-42_3,cell_1960,2
RA19_02-42_3,cell_1968,2
RA19_02-42_3,cell_1972,2
RA19_02-42_3,cell_1973,2
RA19_02-42_3,cell_1991,2
RA19_02-42_3,cell_2,2
RA19_02-42_3,cell_2003,2
RA19_02-42_3,cell_201,2
RA19_02-42_3,cell_2029,2
RA19_02-42_3,cell_2031,2
RA19_02-42_3,cell_2040,2
RA19_02-42_3,cell_2045,2
RA19_02-42_3,cell_2047,2
RA19_02-42_3,cell_2055,2
RA19_02-42_3,cell_2067,2
RA19_02-42_3,cell_2069,2
RA19_02-42_3,cell_207,2
RA19_02-42_3,cell_2089,2
RA19_02-42_3,cell_2093,2
RA19_02-42_3,cell_2120,2
RA19_02-42_3,cell_2123,2
RA19_02-42_3,cell_2128,2
RA19_02-42_3,cell_2144,2
RA19_02-42_3,cell_215,2
RA19_02-42_3,cell_2158,2
RA19_02-42_3,cell_2162,2
RA19_02-42_3,cell_2164,2
RA19_02-42_3,cell_2169,2
RA19_02-42_3,cell_217,2
