sample_name,cell_barcode,final_clone_id
TP12-IR-2T,cell_48,1
TP12-IR-2T,cell_308,1
TP12-IR-2T,cell_61,1
TP12-IR-2T,cell_482,1
TP12-EUS-0T,cell_6,1
TP12-IR-2T,cell_245,1
TP12-EUS-0T,cell_70,1
TP12-IR-2T,cell_557,1
TP12-IR-2T,cell_521,1
TP12-IR-2T,cell_476,1
TP12-IR-2T,cell_208,1
TP12-IR-2T,cell_15,1
TP12-EUS-0T,cell_9,1
TP12-EUS-0T,cell_2,1
TP12-IR-2T,cell_43,1
TP12-IR-2T,cell_170,1
TP12-IR-2T,cell_183,1
TP12-IR-2T,cell_362,1
TP12-IR-2T,cell_124,1
TP12-IR-2T,cell_69,1
TP12-IR-2T,cell_499,1
TP12-IR-2T,cell_316,1
TP12-IR-2T,cell_179,1
TP12-IR-2T,cell_126,1
TP12-IR-2T,cell_512,1
TP12-IR-2T,cell_78,1
TP12-EUS-0T,cell_80,1
TP12-IR-2T,cell_566,1
TP12-IR-2T,cell_151,1
TP12-IR-2T,cell_164,1
TP12-IR-2T,cell_205,1
TP12-IR-2T,cell_16,1
TP12-IR-2T,cell_470,1
TP12-IR-2T,cell_480,1
TP12-IR-2T,cell_144,1
TP12-IR-2T,cell_112,1
TP12-IR-2T,cell_293,1
TP12-IR-2T,cell_193,1
TP12-IR-2T,cell_354,1
TP12-IR-2T,cell_191,1
TP12-EUS-0T,cell_17,1
TP12-EUS-0T,cell_107,1
TP12-IR-2T,cell_381,1
TP12-IR-2T,cell_496,1
TP12-EUS-0T,cell_63,1
TP12-IR-2T,cell_346,1
TP12-EUS-0T,cell_53,1
TP12-IR-2T,cell_254,1
TP12-IR-2T,cell_544,1
TP12-IR-2T,cell_415,1
TP12-EUS-0T,cell_69,1
TP12-IR-2T,cell_425,1
TP12-IR-2T,cell_168,1
TP12-IR-2T,cell_463,1
TP12-IR-2T,cell_279,1
TP12-IR-2T,cell_71,1
TP12-IR-2T,cell_477,1
TP12-IR-2T,cell_29,1
TP12-IR-2T,cell_424,1
TP12-IR-2T,cell_439,1
TP12-IR-2T,cell_492,1
TP12-IR-2T,cell_342,1
TP12-IR-2T,cell_45,1
TP12-EUS-0T,cell_96,1
TP12-IR-2T,cell_427,1
TP12-IR-2T,cell_127,1
TP12-IR-2T,cell_299,1
TP12-IR-2T,cell_466,1
TP12-IR-2T,cell_554,1
TP12-EUS-0T,cell_101,1
TP12-IR-2T,cell_440,1
TP12-IR-2T,cell_252,1
TP12-IR-2T,cell_422,1
TP12-IR-2T,cell_12,1
TP12-IR-2T,cell_329,1
TP12-IR-2T,cell_449,1
TP12-IR-2T,cell_334,1
TP12-EUS-0T,cell_86,1
TP12-IR-2T,cell_445,1
TP12-IR-2T,cell_541,1
TP12-EUS-0T,cell_39,1
TP12-EUS-0T,cell_59,1
TP12-IR-2T,cell_62,1
TP12-IR-2T,cell_559,1
TP12-IR-2T,cell_212,1
TP12-IR-2T,cell_277,1
TP12-IR-2T,cell_524,1
TP12-IR-2T,cell_220,1
TP12-IR-2T,cell_152,1
TP12-IR-2T,cell_475,1
TP12-IR-2T,cell_49,1
TP12-IR-2T,cell_186,1
TP12-IR-2T,cell_80,1
TP12-IR-2T,cell_54,1
TP12-IR-2T,cell_324,1
TP12-IR-2T,cell_452,1
TP12-EUS-0T,cell_8,1
TP12-EUS-0T,cell_52,1
TP12-IR-2T,cell_197,1
TP12-IR-2T,cell_267,1
TP12-IR-2T,cell_143,1
TP12-IR-2T,cell_481,1
TP12-IR-2T,cell_503,1
TP12-EUS-0T,cell_74,1
TP12-EUS-0T,cell_34,1
TP12-IR-2T,cell_10,1
TP12-IR-2T,cell_358,1
TP12-EUS-0T,cell_45,1
TP12-IR-2T,cell_117,1
TP12-EUS-0T,cell_54,1
TP12-IR-2T,cell_131,1
TP12-IR-2T,cell_370,1
TP12-IR-2T,cell_434,1
TP12-IR-2T,cell_436,1
TP12-IR-2T,cell_542,1
TP12-IR-2T,cell_314,1
TP12-IR-2T,cell_166,1
TP12-IR-2T,cell_79,1
TP12-IR-2T,cell_66,1
TP12-IR-2T,cell_447,1
TP12-EUS-0T,cell_48,1
TP12-IR-2T,cell_414,1
TP12-IR-2T,cell_113,1
TP12-EUS-0T,cell_32,1
TP12-EUS-0T,cell_73,1
TP12-IR-2T,cell_175,1
TP12-IR-2T,cell_498,1
TP12-EUS-0T,cell_64,1
TP12-IR-2T,cell_260,1
TP12-IR-2T,cell_81,1
TP12-IR-2T,cell_426,1
TP12-IR-2T,cell_145,1
TP12-IR-2T,cell_340,1
TP12-EUS-0T,cell_5,1
TP12-IR-2T,cell_504,1
TP12-IR-2T,cell_417,1
TP12-IR-2T,cell_387,1
TP12-IR-2T,cell_246,1
TP12-IR-2T,cell_76,1
TP12-IR-2T,cell_284,1
TP12-IR-2T,cell_259,1
TP12-IR-2T,cell_148,1
TP12-EUS-0T,cell_1,1
TP12-IR-2T,cell_216,1
TP12-IR-2T,cell_529,1
TP12-IR-2T,cell_298,1
TP12-IR-2T,cell_468,1
TP12-EUS-0T,cell_109,1
TP12-EUS-0T,cell_58,1
TP12-IR-2T,cell_139,1
TP12-IR-2T,cell_262,1
TP12-EUS-0T,cell_26,1
TP12-IR-2T,cell_548,1
TP12-IR-2T,cell_87,1
TP12-IR-2T,cell_526,1
TP12-IR-2T,cell_258,1
TP12-IR-2T,cell_406,1
TP12-IR-2T,cell_14,1
TP12-IR-2T,cell_373,1
TP12-IR-2T,cell_291,1
TP12-EUS-0T,cell_4,1
TP12-EUS-0T,cell_49,1
TP12-EUS-0T,cell_87,1
TP12-IR-2T,cell_300,1
TP12-IR-2T,cell_72,1
TP12-IR-2T,cell_491,1
TP12-EUS-0T,cell_102,1
TP12-IR-2T,cell_84,1
TP12-IR-2T,cell_24,1
TP12-IR-2T,cell_278,1
TP12-IR-2T,cell_309,1
TP12-IR-2T,cell_222,1
TP12-IR-2T,cell_369,1
TP12-IR-2T,cell_553,1
TP12-EUS-0T,cell_82,1
TP12-EUS-0T,cell_18,1
TP12-IR-2T,cell_169,1
TP12-IR-2T,cell_289,1
TP12-IR-2T,cell_339,1
TP12-IR-2T,cell_275,1
TP12-IR-2T,cell_235,1
TP12-IR-2T,cell_149,1
TP12-IR-2T,cell_336,1
TP12-IR-2T,cell_523,1
TP12-IR-2T,cell_132,1
TP12-EUS-0T,cell_97,1
TP12-IR-2T,cell_55,1
TP12-IR-2T,cell_107,1
TP12-IR-2T,cell_443,1
TP12-EUS-0T,cell_50,1
TP12-IR-2T,cell_236,1
TP12-IR-2T,cell_546,1
TP12-EUS-0T,cell_104,1
TP12-IR-2T,cell_210,1
TP12-IR-2T,cell_263,1
TP12-IR-2T,cell_534,1
TP12-EUS-0T,cell_118,1
TP12-IR-2T,cell_56,1
