sample,cell_barcode,clone_id
TP49-IR-0T,cell_1,1
TP49-IR-0T,cell_10,1
TP49-IR-0T,cell_15,1
TP49-IR-0T,cell_33,1
TP49-IR-0T,cell_4,1
TP49-IR-0T,cell_40,1
TP49-IR-0T,cell_41,1
TP49-IR-1T,cell_1001,1
TP49-IR-1T,cell_1009,1
TP49-IR-1T,cell_1013,1
TP49-IR-1T,cell_1023,1
TP49-IR-1T,cell_1028,1
TP49-IR-1T,cell_104,1
TP49-IR-1T,cell_1044,1
TP49-IR-1T,cell_1047,1
TP49-IR-1T,cell_1048,1
TP49-IR-1T,cell_1056,1
TP49-IR-1T,cell_1058,1
TP49-IR-1T,cell_1064,1
TP49-IR-1T,cell_1065,1
TP49-IR-1T,cell_1071,1
TP49-IR-1T,cell_1072,1
TP49-IR-1T,cell_1074,1
TP49-IR-1T,cell_1077,1
TP49-IR-1T,cell_1086,1
TP49-IR-1T,cell_1090,1
TP49-IR-1T,cell_1095,1
TP49-IR-1T,cell_1109,1
TP49-IR-1T,cell_111,1
TP49-IR-1T,cell_1113,1
TP49-IR-1T,cell_1118,1
TP49-IR-1T,cell_112,1
TP49-IR-1T,cell_1127,1
TP49-IR-1T,cell_1132,1
TP49-IR-1T,cell_1138,1
TP49-IR-1T,cell_1149,1
TP49-IR-1T,cell_1150,1
TP49-IR-1T,cell_1153,1
TP49-IR-1T,cell_1162,1
TP49-IR-1T,cell_1163,1
TP49-IR-1T,cell_1164,1
TP49-IR-1T,cell_1168,1
TP49-IR-1T,cell_1169,1
TP49-IR-1T,cell_117,1
TP49-IR-1T,cell_1170,1
TP49-IR-1T,cell_1181,1
TP49-IR-1T,cell_1183,1
TP49-IR-1T,cell_1188,1
TP49-IR-1T,cell_1191,1
TP49-IR-1T,cell_1194,1
TP49-IR-1T,cell_12,1
TP49-IR-1T,cell_1206,1
TP49-IR-1T,cell_1211,1
TP49-IR-1T,cell_1218,1
TP49-IR-1T,cell_1219,1
TP49-IR-1T,cell_1223,1
TP49-IR-1T,cell_1225,1
TP49-IR-1T,cell_1228,1
TP49-IR-1T,cell_1230,1
TP49-IR-1T,cell_124,1
TP49-IR-1T,cell_1248,1
TP49-IR-1T,cell_1256,1
TP49-IR-1T,cell_1259,1
TP49-IR-1T,cell_1260,1
TP49-IR-1T,cell_1265,1
TP49-IR-1T,cell_1266,1
TP49-IR-1T,cell_1269,1
TP49-IR-1T,cell_1272,1
TP49-IR-1T,cell_1284,1
TP49-IR-1T,cell_129,1
TP49-IR-1T,cell_1290,1
TP49-IR-1T,cell_1292,1
TP49-IR-1T,cell_1298,1
TP49-IR-1T,cell_1302,1
TP49-IR-1T,cell_1306,1
TP49-IR-1T,cell_1310,1
TP49-IR-1T,cell_1315,1
TP49-IR-1T,cell_1316,1
TP49-IR-1T,cell_1321,1
TP49-IR-1T,cell_1323,1
TP49-IR-1T,cell_133,1
TP49-IR-1T,cell_1331,1
TP49-IR-1T,cell_1344,1
TP49-IR-1T,cell_1347,1
TP49-IR-1T,cell_1349,1
TP49-IR-1T,cell_1351,1
TP49-IR-1T,cell_1353,1
TP49-IR-1T,cell_1356,1
TP49-IR-1T,cell_136,1
TP49-IR-1T,cell_1365,1
TP49-IR-1T,cell_1369,1
TP49-IR-1T,cell_137,1
TP49-IR-1T,cell_1370,1
TP49-IR-1T,cell_1373,1
TP49-IR-1T,cell_1374,1
TP49-IR-1T,cell_1377,1
TP49-IR-1T,cell_1394,1
TP49-IR-1T,cell_1395,1
TP49-IR-1T,cell_1396,1
TP49-IR-1T,cell_1399,1
TP49-IR-1T,cell_140,1
TP49-IR-1T,cell_1404,1
TP49-IR-1T,cell_1408,1
TP49-IR-1T,cell_141,1
TP49-IR-1T,cell_1410,1
TP49-IR-1T,cell_1411,1
TP49-IR-1T,cell_1416,1
TP49-IR-1T,cell_1420,1
TP49-IR-1T,cell_1423,1
TP49-IR-1T,cell_1425,1
TP49-IR-1T,cell_1432,1
TP49-IR-1T,cell_1436,1
TP49-IR-1T,cell_1443,1
TP49-IR-1T,cell_1449,1
TP49-IR-1T,cell_1451,1
TP49-IR-1T,cell_146,1
TP49-IR-1T,cell_1461,1
TP49-IR-1T,cell_1464,1
TP49-IR-1T,cell_1465,1
TP49-IR-1T,cell_1475,1
TP49-IR-1T,cell_1485,1
TP49-IR-1T,cell_1487,1
TP49-IR-1T,cell_1493,1
TP49-IR-1T,cell_1494,1
TP49-IR-1T,cell_1495,1
TP49-IR-1T,cell_1498,1
TP49-IR-1T,cell_1512,1
TP49-IR-1T,cell_1515,1
TP49-IR-1T,cell_1517,1
TP49-IR-1T,cell_1520,1
TP49-IR-1T,cell_1532,1
TP49-IR-1T,cell_1539,1
TP49-IR-1T,cell_1553,1
TP49-IR-1T,cell_1558,1
TP49-IR-1T,cell_1576,1
TP49-IR-1T,cell_1588,1
TP49-IR-1T,cell_1589,1
TP49-IR-1T,cell_1594,1
TP49-IR-1T,cell_1600,1
TP49-IR-1T,cell_1602,1
TP49-IR-1T,cell_1607,1
TP49-IR-1T,cell_161,1
TP49-IR-1T,cell_1610,1
TP49-IR-1T,cell_1615,1
TP49-IR-1T,cell_1619,1
TP49-IR-1T,cell_1620,1
TP49-IR-1T,cell_1622,1
TP49-IR-1T,cell_1635,1
TP49-IR-1T,cell_1638,1
TP49-IR-1T,cell_1640,1
TP49-IR-1T,cell_1646,1
TP49-IR-1T,cell_1647,1
TP49-IR-1T,cell_165,1
TP49-IR-1T,cell_1652,1
TP49-IR-1T,cell_1653,1
TP49-IR-1T,cell_1657,1
TP49-IR-1T,cell_166,1
TP49-IR-1T,cell_1672,1
TP49-IR-1T,cell_1676,1
TP49-IR-1T,cell_1679,1
TP49-IR-1T,cell_1684,1
TP49-IR-1T,cell_1690,1
TP49-IR-1T,cell_1698,1
TP49-IR-1T,cell_170,1
TP49-IR-1T,cell_1701,1
TP49-IR-1T,cell_1702,1
TP49-IR-1T,cell_1725,1
TP49-IR-1T,cell_1729,1
TP49-IR-1T,cell_173,1
TP49-IR-1T,cell_1732,1
TP49-IR-1T,cell_1743,1
TP49-IR-1T,cell_1745,1
TP49-IR-1T,cell_1748,1
TP49-IR-1T,cell_1761,1
TP49-IR-1T,cell_177,1
TP49-IR-1T,cell_1777,1
TP49-IR-1T,cell_1783,1
TP49-IR-1T,cell_179,1
TP49-IR-1T,cell_1796,1
TP49-IR-1T,cell_1797,1
TP49-IR-1T,cell_180,1
TP49-IR-1T,cell_1805,1
TP49-IR-1T,cell_1811,1
TP49-IR-1T,cell_1813,1
TP49-IR-1T,cell_1816,1
TP49-IR-1T,cell_1828,1
TP49-IR-1T,cell_183,1
TP49-IR-1T,cell_1837,1
TP49-IR-1T,cell_1838,1
TP49-IR-1T,cell_1839,1
TP49-IR-1T,cell_1840,1
TP49-IR-1T,cell_1841,1
TP49-IR-1T,cell_1843,1
