,cell_barcode,clone_id
M11-1,cell_1,3
M11-1,cell_10,1
M11-1,cell_100,4
M11-1,cell_1000,4
M11-1,cell_1001,4
M11-1,cell_1002,1
M11-1,cell_1003,3
M11-1,cell_1004,4
M11-1,cell_1005,3
M11-1,cell_1006,3
M11-1,cell_1007,4
M11-1,cell_1008,3
M11-1,cell_1009,4
M11-1,cell_101,3
M11-1,cell_1010,1
M11-1,cell_1011,4
M11-1,cell_1012,4
M11-1,cell_1013,3
M11-1,cell_1014,4
M11-1,cell_1015,3
M11-1,cell_1016,1
M11-1,cell_1017,3
M11-1,cell_1018,1
M11-1,cell_1019,1
M11-1,cell_102,4
M11-1,cell_1020,4
M11-1,cell_1021,4
M11-1,cell_1022,4
M11-1,cell_1023,4
M11-1,cell_1024,4
M11-1,cell_1025,1
M11-1,cell_1026,1
M11-1,cell_1027,8
M11-1,cell_1028,3
M11-1,cell_1029,4
M11-1,cell_103,4
M11-1,cell_1030,4
M11-1,cell_1031,4
M11-1,cell_1032,4
M11-1,cell_1033,1
M11-1,cell_1034,4
M11-1,cell_1035,4
M11-1,cell_1036,3
M11-1,cell_1037,4
M11-1,cell_1038,4
M11-1,cell_1039,1
M11-1,cell_104,3
M11-1,cell_1040,4
M11-1,cell_1041,4
M11-1,cell_1042,3
M11-1,cell_1043,4
M11-1,cell_1044,3
M11-1,cell_1045,3
M11-1,cell_1046,3
M11-1,cell_1047,4
M11-1,cell_1048,3
M11-1,cell_1049,4
M11-1,cell_105,1
M11-1,cell_1050,4
M11-1,cell_1051,1
M11-1,cell_1052,3
M11-1,cell_1053,3
M11-1,cell_1054,4
M11-1,cell_1055,4
M11-1,cell_1056,4
M11-1,cell_1057,3
M11-1,cell_1058,4
M11-1,cell_1059,3
M11-1,cell_106,1
M11-1,cell_1060,8
M11-1,cell_1061,1
M11-1,cell_1062,4
M11-1,cell_1063,4
M11-1,cell_1064,4
M11-1,cell_1065,3
M11-1,cell_1066,4
M11-1,cell_1067,3
M11-1,cell_1068,1
M11-1,cell_1069,1
M11-1,cell_107,4
M11-1,cell_1070,4
M11-1,cell_1071,4
M11-1,cell_1072,1
M11-1,cell_1073,4
M11-1,cell_1074,3
M11-1,cell_1075,1
M11-1,cell_1076,1
M11-1,cell_1077,3
M11-1,cell_1078,4
M11-1,cell_1079,4
M11-1,cell_108,4
M11-1,cell_1080,4
M11-1,cell_1081,4
M11-1,cell_1082,3
M11-1,cell_1083,3
M11-1,cell_1084,3
M11-1,cell_1085,4
M11-1,cell_1086,1
M11-1,cell_1087,3
M11-1,cell_1088,4
M11-1,cell_1089,4
M11-1,cell_109,3
M11-1,cell_1090,1
M11-1,cell_1091,4
M11-1,cell_1092,1
M11-1,cell_1093,4
M11-1,cell_1094,1
M11-1,cell_1095,1
M11-1,cell_1096,1
M11-1,cell_1097,1
M11-1,cell_1098,4
M11-1,cell_1099,3
M11-1,cell_11,4
M11-1,cell_110,4
M11-1,cell_1100,4
M11-1,cell_1101,4
M11-1,cell_1102,4
M11-1,cell_1103,3
M11-1,cell_1104,3
M11-1,cell_1105,4
M11-1,cell_1106,4
M11-1,cell_1107,1
M11-1,cell_1108,4
M11-1,cell_1109,4
M11-1,cell_111,4
M11-1,cell_1110,3
M11-1,cell_1111,1
M11-1,cell_1112,4
M11-1,cell_1113,3
M11-1,cell_1114,3
M11-1,cell_1115,3
M11-1,cell_1116,3
M11-1,cell_1117,3
M11-1,cell_1118,1
M11-1,cell_1119,4
M11-1,cell_112,1
M11-1,cell_1120,4
M11-1,cell_1121,1
M11-1,cell_1122,4
M11-1,cell_1123,3
M11-1,cell_1124,3
M11-1,cell_1125,3
M11-1,cell_1126,1
M11-1,cell_1127,1
M11-1,cell_1128,4
M11-1,cell_1129,1
M11-1,cell_113,4
M11-1,cell_1130,1
M11-1,cell_1131,1
M11-1,cell_1132,4
M11-1,cell_1133,3
M11-1,cell_1134,4
M11-1,cell_1135,4
M11-1,cell_1136,1
M11-1,cell_1137,1
M11-1,cell_1138,4
M11-1,cell_1139,3
M11-1,cell_114,4
M11-1,cell_1140,4
M11-1,cell_1141,8
M11-1,cell_1142,4
M11-1,cell_1143,3
M11-1,cell_1144,4
M11-1,cell_1145,1
M11-1,cell_1146,1
M11-1,cell_1147,4
M11-1,cell_1148,3
M11-1,cell_1149,1
M11-1,cell_115,4
M11-1,cell_1150,4
M11-1,cell_1151,3
M11-1,cell_1152,3
M11-1,cell_1153,1
M11-1,cell_1154,3
M11-1,cell_1155,3
M11-1,cell_1156,1
M11-1,cell_1157,3
M11-1,cell_1158,4
M11-1,cell_1159,4
M11-1,cell_116,1
M11-1,cell_1160,4
M11-1,cell_1161,4
M11-1,cell_1162,4
M11-1,cell_1163,4
M11-1,cell_1164,1
M11-1,cell_1165,1
M11-1,cell_1166,1
M11-1,cell_1167,4
M11-1,cell_1168,1
M11-1,cell_1169,4
M11-1,cell_117,4
M11-1,cell_1170,4
M11-1,cell_1171,1
M11-1,cell_1172,3
M11-1,cell_1173,3
M11-1,cell_1174,1
M11-1,cell_1175,3
M11-1,cell_1176,4
M11-1,cell_1177,1
M11-1,cell_1178,3
M11-1,cell_1179,3
M11-1,cell_118,4
M11-1,cell_1180,4
M11-1,cell_1181,1
M11-1,cell_1182,8
M11-1,cell_1183,1
M11-1,cell_1184,4
M11-1,cell_1185,4
M11-1,cell_1186,4
M11-1,cell_1187,1
M11-1,cell_1188,1
M11-1,cell_1189,4
M11-1,cell_119,4
M11-1,cell_1190,3
M11-1,cell_1191,3
M11-1,cell_1192,3
M11-1,cell_1193,1
M11-1,cell_1194,3
M11-1,cell_1195,3
M11-1,cell_1196,1
M11-1,cell_1197,1
M11-1,cell_1198,3
M11-1,cell_1199,4
M11-1,cell_12,1
M11-1,cell_120,4
M11-1,cell_1200,8
M11-1,cell_1201,3
M11-1,cell_1202,3
M11-1,cell_1203,8
M11-1,cell_1204,1
M11-1,cell_1205,1
M11-1,cell_1206,4
M11-1,cell_1207,1
M11-1,cell_1208,4
M11-1,cell_1209,4
M11-1,cell_121,3
M11-1,cell_1210,4
M11-1,cell_1211,4
M11-1,cell_1212,3
M11-1,cell_1213,1
M11-1,cell_1214,4
M11-1,cell_1215,1
M11-1,cell_1216,4
M11-1,cell_1217,4
M11-1,cell_1218,1
M11-1,cell_1219,4
M11-1,cell_122,3
M11-1,cell_1220,3
M11-1,cell_1221,1
M11-1,cell_1222,4
M11-1,cell_1223,3
M11-1,cell_1224,1
M11-1,cell_1225,4
M11-1,cell_1226,4
M11-1,cell_1227,1
M11-1,cell_1228,1
M11-1,cell_1229,3
M11-1,cell_123,1
M11-1,cell_1230,3
M11-1,cell_1231,3
M11-1,cell_1232,3
M11-1,cell_1233,4
M11-1,cell_1234,1
M11-1,cell_1235,3
M11-1,cell_1236,3
M11-1,cell_1237,4
M11-1,cell_1238,3
M11-1,cell_1239,4
M11-1,cell_124,4
M11-1,cell_1240,4
M11-1,cell_1241,8
M11-1,cell_1242,4
M11-1,cell_1243,8
M11-1,cell_1244,1
M11-1,cell_1245,3
M11-1,cell_1246,1
M11-1,cell_1247,4
M11-1,cell_1248,4
M11-1,cell_1249,4
M11-1,cell_125,4
M11-1,cell_1250,3
M11-1,cell_1251,1
M11-1,cell_1252,4
M11-1,cell_1253,3
M11-1,cell_1254,4
M11-1,cell_1255,1
M11-1,cell_1256,3
M11-1,cell_1257,4
M11-1,cell_1258,1
M11-1,cell_1259,4
M11-1,cell_126,4
M11-1,cell_1260,4
M11-1,cell_1261,4
M11-1,cell_1262,3
M11-1,cell_1263,1
M11-1,cell_1264,4
M11-1,cell_1265,4
M11-1,cell_1266,4
M11-1,cell_1267,4
M11-1,cell_1268,3
M11-1,cell_1269,4
M11-1,cell_127,3
M11-1,cell_1270,3
M11-1,cell_1271,4
M11-1,cell_1272,3
M11-1,cell_1273,4
M11-1,cell_1274,4
M11-1,cell_1275,1
M11-1,cell_1276,3
M11-1,cell_1277,1
M11-1,cell_1278,3
M11-1,cell_1279,1
M11-1,cell_128,3
M11-1,cell_1280,4
M11-1,cell_1281,3
M11-1,cell_1282,4
M11-1,cell_1283,4
M11-1,cell_1284,1
M11-1,cell_1285,1
M11-1,cell_1286,3
M11-1,cell_1287,3
M11-1,cell_1288,4
M11-1,cell_1289,1
