sample,cell_barcode,clone_id
M13-1,cell_1,4
M13-1,cell_10,3
M13-1,cell_100,4
M13-1,cell_1000,0
M13-1,cell_1001,3
M13-1,cell_1002,3
M13-1,cell_1003,1
M13-1,cell_1004,3
M13-1,cell_1005,4
M13-1,cell_1006,0
M13-1,cell_1007,1
M13-1,cell_1008,3
M13-1,cell_1009,4
M13-1,cell_101,4
M13-1,cell_1010,0
M13-1,cell_1011,0
M13-1,cell_1012,3
M13-1,cell_1013,0
M13-1,cell_1014,3
M13-1,cell_1015,0
M13-1,cell_1016,0
M13-1,cell_1017,3
M13-1,cell_1018,4
M13-1,cell_1019,0
M13-1,cell_102,3
M13-1,cell_1020,3
M13-1,cell_1021,0
M13-1,cell_1022,0
M13-1,cell_1023,0
M13-1,cell_1024,0
M13-1,cell_1025,1
M13-1,cell_1026,3
M13-1,cell_1027,0
M13-1,cell_1028,3
M13-1,cell_1029,0
M13-1,cell_103,4
M13-1,cell_1030,4
M13-1,cell_1031,3
M13-1,cell_1032,4
M13-1,cell_1033,0
M13-1,cell_1034,0
M13-1,cell_1035,4
M13-1,cell_1036,0
M13-1,cell_1037,1
M13-1,cell_1038,4
M13-1,cell_1039,3
M13-1,cell_104,4
M13-1,cell_1040,3
M13-1,cell_1041,0
M13-1,cell_1042,3
M13-1,cell_1043,4
M13-1,cell_1044,0
M13-1,cell_1045,1
M13-1,cell_1046,1
M13-1,cell_1047,3
M13-1,cell_1048,0
M13-1,cell_1049,1
M13-1,cell_105,0
M13-1,cell_1050,1
M13-1,cell_1051,3
M13-1,cell_1052,0
M13-1,cell_1053,0
M13-1,cell_1054,0
M13-1,cell_1055,0
M13-1,cell_1056,0
M13-1,cell_1057,3
M13-1,cell_1058,1
M13-1,cell_1059,0
M13-1,cell_106,0
M13-1,cell_1060,3
M13-1,cell_1061,3
M13-1,cell_1062,1
M13-1,cell_1063,1
M13-1,cell_1064,0
M13-1,cell_1065,4
M13-1,cell_1066,0
M13-1,cell_1067,4
M13-1,cell_1068,4
M13-1,cell_1069,4
M13-1,cell_107,1
M13-1,cell_1070,3
M13-1,cell_1071,3
M13-1,cell_1072,3
M13-1,cell_1073,0
M13-1,cell_1074,0
M13-1,cell_1075,3
M13-1,cell_1076,3
M13-1,cell_1077,1
M13-1,cell_1078,0
M13-1,cell_1079,0
M13-1,cell_108,3
M13-1,cell_1080,3
M13-1,cell_1081,0
M13-1,cell_1082,3
M13-1,cell_1083,4
M13-1,cell_1084,0
M13-1,cell_1085,0
M13-1,cell_1086,0
M13-1,cell_1087,0
M13-1,cell_1088,1
M13-1,cell_1089,3
M13-1,cell_109,4
M13-1,cell_1090,3
M13-1,cell_1091,3
M13-1,cell_1092,3
M13-1,cell_1093,4
M13-1,cell_1094,1
M13-1,cell_1095,4
