sample,cell_barcode,clone_id
BPA-4-RSX,cell_1,2
BPA-4-RSX,cell_10,2
BPA-4-RSX,cell_100,3
BPA-4-RSX,cell_1000,3
BPA-4-RSX,cell_1001,2
BPA-4-RSX,cell_1002,3
BPA-4-RSX,cell_1003,2
BPA-4-RSX,cell_1004,1
BPA-4-RSX,cell_1005,2
BPA-4-RSX,cell_1006,2
BPA-4-RSX,cell_1007,1
BPA-4-RSX,cell_1008,1
BPA-4-RSX,cell_1009,3
BPA-4-RSX,cell_101,2
BPA-4-RSX,cell_1010,3
BPA-4-RSX,cell_1011,3
BPA-4-RSX,cell_1012,2
BPA-4-RSX,cell_1013,2
BPA-4-RSX,cell_1014,1
BPA-4-RSX,cell_1015,1
BPA-4-RSX,cell_1016,1
BPA-4-RSX,cell_1017,3
BPA-4-RSX,cell_1018,2
BPA-4-RSX,cell_1019,3
BPA-4-RSX,cell_102,1
BPA-4-RSX,cell_1020,2
BPA-4-RSX,cell_1021,3
BPA-4-RSX,cell_1022,2
BPA-4-RSX,cell_1023,1
BPA-4-RSX,cell_1024,3
BPA-4-RSX,cell_1025,1
BPA-4-RSX,cell_1026,1
BPA-4-RSX,cell_1027,3
BPA-4-RSX,cell_1028,3
BPA-4-RSX,cell_1029,2
BPA-4-RSX,cell_103,3
BPA-4-RSX,cell_1030,2
BPA-4-RSX,cell_1031,1
BPA-4-RSX,cell_1032,2
BPA-4-RSX,cell_1033,3
BPA-4-RSX,cell_1034,3
BPA-4-RSX,cell_1035,3
BPA-4-RSX,cell_1036,2
BPA-4-RSX,cell_1037,3
BPA-4-RSX,cell_1038,2
BPA-4-RSX,cell_1039,3
BPA-4-RSX,cell_104,1
BPA-4-RSX,cell_1040,1
BPA-4-RSX,cell_1041,1
BPA-4-RSX,cell_1042,1
BPA-4-RSX,cell_1043,3
BPA-4-RSX,cell_1044,3
BPA-4-RSX,cell_1045,2
BPA-4-RSX,cell_1046,1
BPA-4-RSX,cell_1047,1
BPA-4-RSX,cell_1048,0
BPA-4-RSX,cell_1049,2
BPA-4-RSX,cell_105,2
BPA-4-RSX,cell_1050,2
BPA-4-RSX,cell_1051,1
BPA-4-RSX,cell_1052,2
BPA-4-RSX,cell_1053,2
BPA-4-RSX,cell_1054,2
BPA-4-RSX,cell_1055,3
BPA-4-RSX,cell_1056,2
BPA-4-RSX,cell_1057,3
BPA-4-RSX,cell_1058,2
BPA-4-RSX,cell_1059,3
BPA-4-RSX,cell_106,2
BPA-4-RSX,cell_1060,2
BPA-4-RSX,cell_1061,3
BPA-4-RSX,cell_1062,2
BPA-4-RSX,cell_1063,3
BPA-4-RSX,cell_1064,1
BPA-4-RSX,cell_1065,2
BPA-4-RSX,cell_1066,3
BPA-4-RSX,cell_1067,2
BPA-4-RSX,cell_1068,1
BPA-4-RSX,cell_1069,2
BPA-4-RSX,cell_107,3
BPA-4-RSX,cell_1070,3
BPA-4-RSX,cell_1071,2
BPA-4-RSX,cell_1072,2
BPA-4-RSX,cell_1073,3
BPA-4-RSX,cell_1074,2
BPA-4-RSX,cell_1075,1
BPA-4-RSX,cell_1076,2
BPA-4-RSX,cell_1077,1
BPA-4-RSX,cell_1078,1
BPA-4-RSX,cell_1079,3
BPA-4-RSX,cell_108,3
BPA-4-RSX,cell_1080,1
BPA-4-RSX,cell_1081,3
BPA-4-RSX,cell_1082,2
BPA-4-RSX,cell_1083,1
BPA-4-RSX,cell_1084,3
BPA-4-RSX,cell_1085,3
BPA-4-RSX,cell_1086,2
BPA-4-RSX,cell_1087,3
BPA-4-RSX,cell_1088,3
BPA-4-RSX,cell_1089,2
BPA-4-RSX,cell_109,3
BPA-4-RSX,cell_1090,2
BPA-4-RSX,cell_1091,2
BPA-4-RSX,cell_1092,2
BPA-4-RSX,cell_1093,1
BPA-4-RSX,cell_1094,3
BPA-4-RSX,cell_1095,3
BPA-4-RSX,cell_1096,2
BPA-4-RSX,cell_1097,2
BPA-4-RSX,cell_1098,3
BPA-4-RSX,cell_1099,2
BPA-4-RSX,cell_11,3
BPA-4-RSX,cell_110,3
BPA-4-RSX,cell_1100,2
BPA-4-RSX,cell_1101,2
BPA-4-RSX,cell_1102,1
BPA-4-RSX,cell_1103,3
BPA-4-RSX,cell_1104,3
BPA-4-RSX,cell_1105,2
BPA-4-RSX,cell_1106,2
BPA-4-RSX,cell_1107,2
BPA-4-RSX,cell_1108,2
BPA-4-RSX,cell_1109,3
BPA-4-RSX,cell_111,3
BPA-4-RSX,cell_1110,3
BPA-4-RSX,cell_1111,3
BPA-4-RSX,cell_1112,2
BPA-4-RSX,cell_1113,1
BPA-4-RSX,cell_1114,3
BPA-4-RSX,cell_1115,1
BPA-4-RSX,cell_1116,1
