sample,cell_barcode,clone_id
RA19_10-53_1,cell_1,7
RA19_10-53_1,cell_10,5
RA19_10-53_1,cell_100,4
RA19_10-53_1,cell_1000,6
RA19_10-53_1,cell_1001,5
RA19_10-53_1,cell_1002,4
RA19_10-53_1,cell_1003,5
RA19_10-53_1,cell_1004,5
RA19_10-53_1,cell_1005,3
RA19_10-53_1,cell_1006,5
RA19_10-53_1,cell_1007,4
RA19_10-53_1,cell_1008,4
RA19_10-53_1,cell_1009,3
RA19_10-53_1,cell_101,5
RA19_10-53_1,cell_1010,4
RA19_10-53_1,cell_1011,7
RA19_10-53_1,cell_1012,7
RA19_10-53_1,cell_1013,4
RA19_10-53_1,cell_1014,4
RA19_10-53_1,cell_1015,3
RA19_10-53_1,cell_1016,4
RA19_10-53_1,cell_1017,4
RA19_10-53_1,cell_1018,4
RA19_10-53_1,cell_1019,0
RA19_10-53_1,cell_102,5
RA19_10-53_1,cell_1020,3
RA19_10-53_1,cell_1021,5
RA19_10-53_1,cell_1022,3
RA19_10-53_1,cell_1023,4
RA19_10-53_1,cell_1024,4
RA19_10-53_1,cell_1025,7
RA19_10-53_1,cell_1026,4
RA19_10-53_1,cell_1027,7
RA19_10-53_1,cell_1028,7
RA19_10-53_1,cell_1029,3
RA19_10-53_1,cell_103,4
RA19_10-53_1,cell_1030,4
RA19_10-53_1,cell_1031,4
RA19_10-53_1,cell_1032,5
RA19_10-53_1,cell_1033,5
RA19_10-53_1,cell_1034,3
RA19_10-53_1,cell_1035,4
RA19_10-53_1,cell_1036,7
RA19_10-53_1,cell_1037,4
RA19_10-53_1,cell_1038,4
RA19_10-53_1,cell_1039,5
RA19_10-53_1,cell_104,4
RA19_10-53_1,cell_1040,3
RA19_10-53_1,cell_1041,7
RA19_10-53_1,cell_1042,5
RA19_10-53_1,cell_1043,4
RA19_10-53_1,cell_1044,3
RA19_10-53_1,cell_1045,4
RA19_10-53_1,cell_1046,5
RA19_10-53_1,cell_1047,4
RA19_10-53_1,cell_1048,4
RA19_10-53_1,cell_1049,7
RA19_10-53_1,cell_105,5
RA19_10-53_1,cell_1050,4
RA19_10-53_1,cell_1051,4
RA19_10-53_1,cell_1052,5
RA19_10-53_1,cell_1053,3
RA19_10-53_1,cell_1054,1
RA19_10-53_1,cell_1055,4
RA19_10-53_1,cell_1056,5
RA19_10-53_1,cell_1057,3
RA19_10-53_1,cell_1058,7
RA19_10-53_1,cell_1059,7
RA19_10-53_1,cell_106,5
RA19_10-53_1,cell_1060,5
RA19_10-53_1,cell_1061,5
RA19_10-53_1,cell_1062,4
RA19_10-53_1,cell_1063,0
RA19_10-53_1,cell_1064,4
RA19_10-53_1,cell_1065,4
RA19_10-53_1,cell_1066,7
RA19_10-53_1,cell_1067,4
RA19_10-53_1,cell_1068,4
RA19_10-53_1,cell_1069,5
RA19_10-53_1,cell_107,3
RA19_10-53_1,cell_1070,3
RA19_10-53_1,cell_1071,4
RA19_10-53_1,cell_1072,4
RA19_10-53_1,cell_1073,4
RA19_10-53_1,cell_1074,7
RA19_10-53_1,cell_1075,5
RA19_10-53_1,cell_1076,5
RA19_10-53_1,cell_1077,3
RA19_10-53_1,cell_1078,5
RA19_10-53_1,cell_1079,4
RA19_10-53_1,cell_108,4
RA19_10-53_1,cell_1080,5
RA19_10-53_1,cell_1081,0
RA19_10-53_1,cell_1082,4
RA19_10-53_1,cell_1083,0
RA19_10-53_1,cell_1084,5
RA19_10-53_1,cell_1085,4
RA19_10-53_1,cell_1086,5
RA19_10-53_1,cell_1087,4
RA19_10-53_1,cell_1088,4
RA19_10-53_1,cell_1089,5
RA19_10-53_1,cell_109,0
RA19_10-53_1,cell_1090,0
RA19_10-53_1,cell_1091,7
RA19_10-53_1,cell_1092,3
RA19_10-53_1,cell_1093,4
RA19_10-53_1,cell_1094,5
RA19_10-53_1,cell_1095,4
RA19_10-53_1,cell_1096,4
RA19_10-53_1,cell_1097,6
RA19_10-53_1,cell_1098,3
RA19_10-53_1,cell_1099,4
RA19_10-53_1,cell_11,5
RA19_10-53_1,cell_110,4
RA19_10-53_1,cell_1100,4
RA19_10-53_1,cell_1101,5
RA19_10-53_1,cell_1102,5
RA19_10-53_1,cell_1103,5
RA19_10-53_1,cell_1104,4
RA19_10-53_1,cell_1105,5
RA19_10-53_1,cell_1106,4
RA19_10-53_1,cell_1107,0
