sample,cell_barcode,clone_id
TP12-1T,cell_1,1
TP12-1T,cell_10,5
TP12-1T,cell_100,5
TP12-1T,cell_1000,1
TP12-1T,cell_1001,5
TP12-1T,cell_1002,1
TP12-1T,cell_1003,1
TP12-1T,cell_1004,1
TP12-1T,cell_1005,1
TP12-1T,cell_1006,1
TP12-1T,cell_1007,5
TP12-1T,cell_1008,5
TP12-1T,cell_1009,5
TP12-1T,cell_101,5
TP12-1T,cell_1010,5
TP12-1T,cell_1011,1
TP12-1T,cell_1012,1
TP12-1T,cell_1013,1
TP12-1T,cell_1014,1
TP12-1T,cell_1015,1
TP12-1T,cell_1016,5
TP12-1T,cell_1017,5
TP12-1T,cell_1018,5
TP12-1T,cell_1019,5
TP12-1T,cell_102,5
TP12-1T,cell_1020,5
TP12-1T,cell_1021,5
TP12-1T,cell_1022,5
TP12-1T,cell_1023,1
TP12-1T,cell_1024,1
TP12-1T,cell_1025,5
TP12-1T,cell_1026,5
TP12-1T,cell_1027,5
TP12-1T,cell_1028,1
TP12-1T,cell_1029,5
TP12-1T,cell_103,5
TP12-1T,cell_1030,5
TP12-1T,cell_1031,1
TP12-1T,cell_1032,1
TP12-1T,cell_1033,1
TP12-1T,cell_1034,5
TP12-1T,cell_1035,5
TP12-1T,cell_1036,5
TP12-1T,cell_1037,5
TP12-1T,cell_1038,1
TP12-1T,cell_1039,1
TP12-1T,cell_104,5
TP12-1T,cell_1040,5
TP12-1T,cell_1041,1
TP12-1T,cell_1042,5
TP12-1T,cell_1043,1
TP12-1T,cell_1044,1
TP12-1T,cell_1045,1
TP12-1T,cell_1046,5
TP12-1T,cell_1047,5
TP12-1T,cell_1048,1
TP12-1T,cell_1049,5
TP12-1T,cell_105,5
TP12-1T,cell_1050,5
TP12-1T,cell_1051,5
TP12-1T,cell_1052,1
TP12-1T,cell_1053,5
TP12-1T,cell_1054,5
TP12-1T,cell_1055,5
TP12-1T,cell_1056,1
TP12-1T,cell_1057,1
TP12-1T,cell_1058,1
TP12-1T,cell_1059,1
TP12-1T,cell_106,1
TP12-1T,cell_1060,1
TP12-1T,cell_1061,5
TP12-1T,cell_1062,1
TP12-1T,cell_1063,1
TP12-1T,cell_1064,5
TP12-1T,cell_1065,1
TP12-1T,cell_1066,1
TP12-1T,cell_1067,1
TP12-1T,cell_1068,1
TP12-1T,cell_1069,5
TP12-1T,cell_107,1
TP12-1T,cell_1070,5
TP12-1T,cell_1071,1
TP12-1T,cell_1072,5
TP12-1T,cell_1073,5
TP12-1T,cell_1074,1
TP12-1T,cell_1075,5
TP12-1T,cell_1076,1
TP12-1T,cell_1077,1
TP12-1T,cell_1078,1
TP12-1T,cell_1079,5
TP12-1T,cell_108,1
TP12-1T,cell_1080,2
TP12-1T,cell_1081,1
TP12-1T,cell_1082,1
TP12-1T,cell_1083,5
TP12-1T,cell_1084,1
TP12-1T,cell_1085,1
TP12-1T,cell_1086,1
TP12-1T,cell_1087,1
TP12-1T,cell_1088,1
TP12-1T,cell_1089,1
TP12-1T,cell_109,5
TP12-1T,cell_1090,5
TP12-1T,cell_1091,5
TP12-1T,cell_1092,1
TP12-1T,cell_1093,1
TP12-1T,cell_1094,1
TP12-1T,cell_1095,1
TP12-1T,cell_1096,1
TP12-1T,cell_1097,5
TP12-1T,cell_1098,5
TP12-1T,cell_1099,5
TP12-1T,cell_11,1
TP12-1T,cell_110,5
TP12-1T,cell_1100,1
TP12-1T,cell_1101,1
TP12-1T,cell_1102,1
TP12-1T,cell_1103,5
TP12-1T,cell_1104,5
TP12-1T,cell_1105,5
TP12-1T,cell_1106,1
TP12-1T,cell_1107,5
TP12-1T,cell_1108,1
TP12-1T,cell_1109,5
TP12-1T,cell_111,5
TP12-1T,cell_1110,5
TP12-1T,cell_1111,5
TP12-1T,cell_1112,1
TP12-1T,cell_1113,5
TP12-1T,cell_1114,5
TP12-1T,cell_1115,5
TP12-1T,cell_1116,5
TP12-1T,cell_1117,1
TP12-1T,cell_1118,5
TP12-1T,cell_1119,5
TP12-1T,cell_112,5
TP12-1T,cell_1120,5
TP12-1T,cell_1121,5
TP12-1T,cell_1122,5
TP12-1T,cell_1123,1
TP12-1T,cell_1124,5
TP12-1T,cell_1125,1
TP12-1T,cell_1126,5
TP12-1T,cell_1127,5
TP12-1T,cell_1128,5
TP12-1T,cell_1129,5
TP12-1T,cell_113,1
TP12-1T,cell_1130,1
TP12-1T,cell_1131,5
TP12-1T,cell_1132,1
TP12-1T,cell_1133,5
TP12-1T,cell_1134,5
TP12-1T,cell_1135,1
TP12-1T,cell_1136,1
TP12-1T,cell_1137,1
TP12-1T,cell_1138,5
TP12-1T,cell_1139,5
TP12-1T,cell_114,5
TP12-1T,cell_1140,5
TP12-1T,cell_1141,5
TP12-1T,cell_1142,5
TP12-1T,cell_1143,1
TP12-1T,cell_1144,5
TP12-1T,cell_1145,1
TP12-1T,cell_1146,5
TP12-1T,cell_1147,1
TP12-1T,cell_1148,1
TP12-1T,cell_1149,5
TP12-1T,cell_115,1
TP12-1T,cell_1150,1
TP12-1T,cell_1151,1
TP12-1T,cell_1152,1
TP12-1T,cell_1153,1
TP12-1T,cell_1154,1
TP12-1T,cell_1155,1
TP12-1T,cell_1156,1
TP12-1T,cell_1157,1
