sample,cell_barcode,clone_id
TP49-IR-0T,cell_1,2
TP49-IR-0T,cell_10,2
TP49-IR-0T,cell_11,6
TP49-IR-0T,cell_12,6
TP49-IR-0T,cell_13,6
TP49-IR-0T,cell_14,6
TP49-IR-0T,cell_15,2
TP49-IR-0T,cell_16,4
TP49-IR-0T,cell_17,1
TP49-IR-0T,cell_18,7
TP49-IR-0T,cell_19,6
TP49-IR-0T,cell_2,1
TP49-IR-0T,cell_20,6
TP49-IR-0T,cell_21,6
TP49-IR-0T,cell_22,1
TP49-IR-0T,cell_23,6
TP49-IR-0T,cell_24,5
TP49-IR-0T,cell_25,1
TP49-IR-0T,cell_26,6
TP49-IR-0T,cell_27,4
TP49-IR-0T,cell_28,6
TP49-IR-0T,cell_29,7
TP49-IR-0T,cell_3,6
TP49-IR-0T,cell_30,7
TP49-IR-0T,cell_31,6
TP49-IR-0T,cell_32,5
TP49-IR-0T,cell_33,2
TP49-IR-0T,cell_34,6
TP49-IR-0T,cell_35,6
TP49-IR-0T,cell_36,6
TP49-IR-0T,cell_37,6
TP49-IR-0T,cell_38,6
TP49-IR-0T,cell_39,7
TP49-IR-0T,cell_4,2
TP49-IR-0T,cell_40,2
TP49-IR-0T,cell_41,2
TP49-IR-0T,cell_42,6
TP49-IR-0T,cell_43,1
TP49-IR-0T,cell_44,6
TP49-IR-0T,cell_45,4
TP49-IR-0T,cell_46,4
TP49-IR-0T,cell_47,7
TP49-IR-0T,cell_48,6
TP49-IR-0T,cell_49,6
TP49-IR-0T,cell_5,5
TP49-IR-0T,cell_50,6
TP49-IR-0T,cell_6,6
TP49-IR-0T,cell_7,6
TP49-IR-0T,cell_8,6
TP49-IR-0T,cell_9,4
TP49-IR-1T,cell_1,1
TP49-IR-1T,cell_10,1
TP49-IR-1T,cell_100,1
TP49-IR-1T,cell_1000,1
TP49-IR-1T,cell_1001,2
TP49-IR-1T,cell_1002,1
TP49-IR-1T,cell_1003,6
TP49-IR-1T,cell_1004,1
TP49-IR-1T,cell_1005,1
TP49-IR-1T,cell_1006,1
TP49-IR-1T,cell_1007,1
TP49-IR-1T,cell_1008,5
TP49-IR-1T,cell_1009,2
TP49-IR-1T,cell_101,4
TP49-IR-1T,cell_1010,1
TP49-IR-1T,cell_1011,1
TP49-IR-1T,cell_1012,7
TP49-IR-1T,cell_1013,2
TP49-IR-1T,cell_1014,4
TP49-IR-1T,cell_1015,7
TP49-IR-1T,cell_1016,6
TP49-IR-1T,cell_1017,6
TP49-IR-1T,cell_1018,4
TP49-IR-1T,cell_1019,7
TP49-IR-1T,cell_102,5
TP49-IR-1T,cell_1020,7
TP49-IR-1T,cell_1021,7
TP49-IR-1T,cell_1022,1
TP49-IR-1T,cell_1023,2
TP49-IR-1T,cell_1024,5
TP49-IR-1T,cell_1025,1
TP49-IR-1T,cell_1026,1
TP49-IR-1T,cell_1027,1
TP49-IR-1T,cell_1028,2
TP49-IR-1T,cell_1029,1
TP49-IR-1T,cell_103,1
TP49-IR-1T,cell_1030,4
TP49-IR-1T,cell_1031,7
TP49-IR-1T,cell_1032,1
TP49-IR-1T,cell_1033,1
TP49-IR-1T,cell_1034,1
TP49-IR-1T,cell_1035,6
TP49-IR-1T,cell_1036,6
TP49-IR-1T,cell_1037,1
TP49-IR-1T,cell_1038,1
TP49-IR-1T,cell_1039,7
TP49-IR-1T,cell_104,2
TP49-IR-1T,cell_1040,4
TP49-IR-1T,cell_1041,4
TP49-IR-1T,cell_1042,1
TP49-IR-1T,cell_1043,7
TP49-IR-1T,cell_1044,2
TP49-IR-1T,cell_1045,4
TP49-IR-1T,cell_1046,4
TP49-IR-1T,cell_1047,2
TP49-IR-1T,cell_1048,2
TP49-IR-1T,cell_1049,1
TP49-IR-1T,cell_105,1
