,cell_barcode,clone_id
TP6-1T,cell_1,8
TP6-1T,cell_10,6
TP6-1T,cell_100,8
TP6-1T,cell_1000,1
TP6-1T,cell_1001,1
TP6-1T,cell_1002,8
TP6-1T,cell_1003,8
TP6-1T,cell_1004,1
TP6-1T,cell_1005,1
TP6-1T,cell_1006,1
TP6-1T,cell_1007,1
TP6-1T,cell_1008,1
TP6-1T,cell_1009,8
TP6-1T,cell_101,8
TP6-1T,cell_1010,1
TP6-1T,cell_1011,1
TP6-1T,cell_1012,1
TP6-1T,cell_1013,1
TP6-1T,cell_1014,8
TP6-1T,cell_1015,1
TP6-1T,cell_1016,8
TP6-1T,cell_1017,8
TP6-1T,cell_1018,1
TP6-1T,cell_1019,8
TP6-1T,cell_102,1
TP6-1T,cell_1020,8
TP6-1T,cell_1021,8
TP6-1T,cell_1022,8
TP6-1T,cell_1023,8
TP6-1T,cell_1024,1
TP6-1T,cell_1025,1
TP6-1T,cell_1026,8
TP6-1T,cell_1027,1
TP6-1T,cell_1028,1
TP6-1T,cell_1029,1
TP6-1T,cell_103,8
TP6-1T,cell_1030,6
TP6-1T,cell_1031,8
TP6-1T,cell_1032,1
TP6-1T,cell_1033,8
TP6-1T,cell_1034,1
TP6-1T,cell_1035,8
TP6-1T,cell_1036,1
TP6-1T,cell_1037,6
TP6-1T,cell_1038,6
TP6-1T,cell_1039,8
TP6-1T,cell_104,8
TP6-1T,cell_1040,8
TP6-1T,cell_1041,8
TP6-1T,cell_1042,8
TP6-1T,cell_1043,8
TP6-1T,cell_1044,1
TP6-1T,cell_1045,1
TP6-1T,cell_1046,8
TP6-1T,cell_1047,8
TP6-1T,cell_1048,8
TP6-1T,cell_1049,6
TP6-1T,cell_105,8
TP6-1T,cell_1050,8
TP6-1T,cell_1051,6
TP6-1T,cell_1052,8
TP6-1T,cell_1053,8
TP6-1T,cell_1054,1
TP6-1T,cell_1055,1
TP6-1T,cell_1056,1
TP6-1T,cell_1057,1
TP6-1T,cell_1058,8
TP6-1T,cell_1059,1
TP6-1T,cell_106,1
TP6-1T,cell_1060,6
TP6-1T,cell_1061,6
TP6-1T,cell_1062,1
TP6-1T,cell_1063,1
TP6-1T,cell_1064,8
TP6-1T,cell_1065,1
TP6-1T,cell_1066,1
TP6-1T,cell_1067,1
TP6-1T,cell_1068,8
TP6-1T,cell_1069,8
TP6-1T,cell_107,1
TP6-1T,cell_1070,8
TP6-1T,cell_1071,6
TP6-1T,cell_1072,8
