CDS-chr,CDS-start,CDS-end,CDS-Ensembl_ID,CDS-UCSC_ID,CDS-UCSC_index,CDS-strand,CDS-gene_name,CDS-exon_unique_id,CDS-ORF-frame
chr1,6246731,6246876,ENST00000234875,uc001amd.3,0,-,RPL22,uc001amd.3-0,1.0
chr1,6252989,6253114,ENST00000234875,uc001amd.3,1,-,RPL22,uc001amd.3-1,2.0
chr1,6257711,6257816,ENST00000234875,uc001amd.3,2,-,RPL22,uc001amd.3-2,0.0
chr1,6259621,6259633,ENST00000234875,uc001amd.3,3,-,RPL22,uc001amd.3-3,0.0
chr1,11167541,11167557,ENST00000361445,uc001asd.3,0,-,MTOR,uc001asd.3-0,1.0
chr1,11168237,11168343,ENST00000361445,uc001asd.3,1,-,MTOR,uc001asd.3-1,1.0
chr1,11169346,11169427,ENST00000361445,uc001asd.3,2,-,MTOR,uc001asd.3-2,0.0
chr1,11169705,11169786,ENST00000361445,uc001asd.3,3,-,MTOR,uc001asd.3-3,0.0
chr1,11172908,11172974,ENST00000361445,uc001asd.3,4,-,MTOR,uc001asd.3-4,0.0
chr1,11174374,11174510,ENST00000361445,uc001asd.3,5,-,MTOR,uc001asd.3-5,1.0
chr1,11174869,11174944,ENST00000361445,uc001asd.3,6,-,MTOR,uc001asd.3-6,0.0
chr1,11175452,11175525,ENST00000361445,uc001asd.3,7,-,MTOR,uc001asd.3-7,1.0
chr1,11177060,11177143,ENST00000361445,uc001asd.3,8,-,MTOR,uc001asd.3-8,2.0
chr1,11181302,11181425,ENST00000361445,uc001asd.3,9,-,MTOR,uc001asd.3-9,0.0
chr1,11182035,11182183,ENST00000361445,uc001asd.3,10,-,MTOR,uc001asd.3-10,1.0
chr1,11184554,11184690,ENST00000361445,uc001asd.3,11,-,MTOR,uc001asd.3-11,1.0
chr1,11186678,11186853,ENST00000361445,uc001asd.3,12,-,MTOR,uc001asd.3-12,1.0
chr1,11187066,11187201,ENST00000361445,uc001asd.3,13,-,MTOR,uc001asd.3-13,0.0
chr1,11187680,11187863,ENST00000361445,uc001asd.3,14,-,MTOR,uc001asd.3-14,0.0
chr1,11188060,11188183,ENST00000361445,uc001asd.3,15,-,MTOR,uc001asd.3-15,0.0
chr1,11188510,11188609,ENST00000361445,uc001asd.3,16,-,MTOR,uc001asd.3-16,0.0
chr1,11188911,11189008,ENST00000361445,uc001asd.3,17,-,MTOR,uc001asd.3-17,1.0
chr1,11189794,11189895,ENST00000361445,uc001asd.3,18,-,MTOR,uc001asd.3-18,2.0
